SupplierID,SupplierName,Country,Currency,PaymentTerms,SupplierRating,PrimaryRawMaterialExposure,Status
SUP-00072,Global Cable & Wire 72,India,INR,COD,4.5,Steel,Inactive
SUP-00073,Global Logistics Parts 73,Germany,EUR,Net 30,3.12,Freight,Active
SUP-00074,Atlas Polymer Corp 74,USA,USD,2/10 Net 30,2.65,Rare Earths,Inactive
SUP-00075,Horizon Chemical Resins 75,Taiwan,TWD,Net 30,4.87,Steel,Preferred
SUP-00076,Andean Logistics Parts 76,India,INR,Net 30,2.26,Freight,Under Review
SUP-00077,Vanguard Chemical Resins 77,Chile,USD,Net 30,4.21,Freight,Inactive
SUP-00078,Nippon Logistics Parts 78,Unknown,USD,Net 30,3.62,Electronics,Active
SUP-00079,Pacific Microtech 79,Vietnam,VND,COD,2.03,Packaging,Inactive
SUP-00080,Bavarian Industrial 80,UK,GBP,LC At Sight,4.32,Rare Earths,Preferred
SUP-00081,Atlas Metal Tech 81,Japan,JPY,Net 30,4.5,Packaging,Active
SUP-00082,Atlas Metal Tech 82,Germany,EUR,2/10 Net 30,4,Freight,Inactive
SUP-00083,Global Cable & Wire 83,Germany,EUR,Net 30,2.91,Packaging,Active
SUP-00084,Horizon Microtech 84,Japan,JPY,Net 30,,Electronics,Under Review
SUP-00085,Apex Polymer Corp 85,South Korea,KRW,Net 30,3.85,Freight,Active
SUP-00086,Vanguard Electronics 86,Mexico,MXN,Net 30,3.67,Crude Oil / Polymers,Inactive
SUP-00087,Vanguard Electronics 87,Taiwan,TWD,Net 30,2.25,Rare Earths,Active
SUP-00088,Bavarian Chemical Resins 88,Chile,USD,LC At Sight,3.99,Crude Oil / Polymers,Active
SUP-00089,Pacific Cable & Wire 89,UK,GBP,COD,3.97,Steel,Under Review
SUP-00090,Vanguard Logistics Parts 90,China,CNY,LC At Sight,4.5,Steel,Active
SUP-00091,Precision Cable & Wire 91,Unknown,GBP,Net 60,4.49,Packaging,Under Review
SUP-00092,Nippon Logistics Parts 92,Mexico,MXN,COD,3.7,Freight,Active
SUP-00093,Pacific Chemical Resins 93,UK,GBP,LC At Sight,2.35,Electronics,Inactive
SUP-00094,Bavarian Chemical Resins 94,Japan,JPY,2/10 Net 30,3.88,Crude Oil / Polymers,Active
SUP-00095,Atlas Polymer Corp 95,Chile,USD,Net 30,3.72,Freight,Under Review
SUP-00096,Pacific Metal Tech 96,India,INR,COD,2.99,Steel,Active
SUP-00097,Apex Electronics 97,Canada,CAD,LC At Sight,3.9,Rare Earths,Inactive
SUP-00098,Andean Microtech 98,South Korea,KRW,Net 30,,Freight,Active
SUP-00099,Global Industrial 99,Vietnam,VND,Net 30,4.5,Copper,Active
SUP-00100,Andean Chemical Resins 100,Japan,JPY,Net 30,3.74,Packaging,Under Review
SUP-00101,Bavarian Electronics 101,UK,GBP,Net 30,2.11,Crude Oil / Polymers,Inactive
SUP-00102,Apex Chemical Resins 102,UK,GBP,Net 30,4.34,Rare Earths,Under Review
SUP-00103,Andean Chemical Resins 103,Taiwan,TWD,COD,3.11,Packaging,Inactive
SUP-00104,Nippon Metal Tech 104,Unknown,EUR,Net 30,2.99,Crude Oil / Polymers,Under Review
SUP-00105,Nippon Logistics Parts 105,Vietnam,VND,Net 30,2.25,Steel,Inactive
SUP-00106,Andean Logistics Parts 106,Germany,EUR,Net 30,2.81,Steel,Active
SUP-00107,Atlas Microtech 107,Mexico,MXN,COD,3.99,Electronics,Active
SUP-00108,Vanguard Electronics 108,Chile,USD,Net 60,4.5,Electronics,Inactive
SUP-00109,Sino Metal Tech 109,Canada,CAD,Net 60,2.4,Steel,Inactive
SUP-00110,Vanguard Chemical Resins 110,Mexico,MXN,Net 30,3.1,Packaging,Inactive
SUP-00111,Precision Industrial 111,Chile,USD,Net 30,3.75,Rare Earths,Under Review
SUP-00112,Apex Chemical Resins 112,Mexico,MXN,2/10 Net 30,,Copper,Inactive
SUP-00113,Andean Cable & Wire 113,Mexico,MXN,Net 30,3.98,Electronics,Active
SUP-00114,Apex Logistics Parts 114,Chile,USD,LC At Sight,3.58,Rare Earths,Under Review
SUP-00115,Titan Polymer Corp 115,Taiwan,TWD,Net 30,2.09,Crude Oil / Polymers,Active
SUP-00116,Pacific Logistics Parts 116,India,INR,Net 30,4.38,Electronics,Inactive
SUP-00117,Precision Electronics 117,Unknown,JPY,2/10 Net 30,4.5,Freight,Inactive
SUP-00118,Vanguard Cable & Wire 118,Canada,CAD,Net 60,3.6,Freight,Preferred
SUP-00119,Nippon Logistics Parts 119,Taiwan,TWD,2/10 Net 30,4.11,Crude Oil / Polymers,Inactive
SUP-00120,Atlas Logistics Parts 120,Canada,CAD,2/10 Net 30,2.18,Freight,Inactive
SUP-00121,Global Chemical Resins 121,Chile,USD,LC At Sight,2.54,Electronics,Preferred
SUP-00122,Precision Cable & Wire 122,Japan,JPY,Net 60,2.5,Freight,Active
SUP-00123,Atlas Logistics Parts 123,South Korea,KRW,COD,3.87,Packaging,Active
SUP-00124,Sino Microtech 124,India,INR,Net 30,4.66,Copper,Under Review
SUP-00125,Titan Industrial 125,Japan,JPY,Net 30,2.44,Packaging,Active
SUP-00126,Bavarian Metal Tech 126,USA,USD,Net 30,4.5,Electronics,Preferred
SUP-00127,Precision Chemical Resins 127,UK,GBP,LC At Sight,2.08,Packaging,Active
SUP-00128,Apex Industrial 128,Canada,CAD,Net 60,2.6,Rare Earths,Active
SUP-00129,Nippon Microtech 129,Canada,CAD,Net 60,2.64,Crude Oil / Polymers,Preferred
SUP-00130,Pacific Industrial 130,Unknown,MXN,LC At Sight,3.09,Crude Oil / Polymers,Active
SUP-00131,Titan Electronics 131,India,INR,2/10 Net 30,3.45,Crude Oil / Polymers,Inactive
SUP-00132,Nippon Polymer Corp 132,Germany,EUR,Net 30,4.14,Packaging,Inactive
SUP-00133,Atlas Polymer Corp 133,Japan,JPY,Net 30,3.92,Crude Oil / Polymers,Under Review
SUP-00134,Global Logistics Parts 134,Canada,CAD,COD,4.37,Electronics,Inactive
SUP-00135,Vanguard Industrial 135,USA,USD,Net 60,4.5,Packaging,Under Review
SUP-00136,Sino Cable & Wire 136,Mexico,MXN,Net 30,2.32,Crude Oil / Polymers,Preferred
SUP-00137,Nippon Cable & Wire 137,Mexico,MXN,Net 60,3.83,Packaging,Active
SUP-00138,Precision Cable & Wire 138,Chile,USD,COD,2.24,Steel,Active
SUP-00139,Andean Polymer Corp 139,Chile,USD,Net 30,2.11,Packaging,Active
SUP-00140,Apex Electronics 140,Taiwan,TWD,Net 30,,Steel,Inactive
SUP-00141,Titan Electronics 141,Taiwan,TWD,Net 60,3.62,Crude Oil / Polymers,Active
SUP-00142,Atlas Metal Tech 142,Germany,EUR,Net 60,2.28,Packaging,Inactive
SUP-00143,Sino Metal Tech 143,Unknown,USD,COD,4.91,Rare Earths,Preferred
SUP-00144,Andean Polymer Corp 144,Vietnam,VND,LC At Sight,4.5,Electronics,Inactive
SUP-00145,Atlas Chemical Resins 145,Mexico,MXN,Net 30,2.97,Steel,Inactive
SUP-00146,Nippon Industrial 146,China,CNY,2/10 Net 30,4.58,Electronics,Under Review
SUP-00147,Global Electronics 147,China,CNY,2/10 Net 30,2.55,Crude Oil / Polymers,Inactive
SUP-00148,Apex Electronics 148,Taiwan,TWD,Net 60,3.45,Copper,Under Review
SUP-00149,Nippon Industrial 149,Vietnam,VND,Net 30,3.59,Rare Earths,Active
sup_150,Sino Microtech 150,India,INR,Net 30,2.8,Steel,Inactive
SUP-00151,Precision Metal Tech 151,UK,GBP,2/10 Net 30,4.61,Crude Oil / Polymers,Preferred
SUP-00152,Apex Cable & Wire 152,China,CNY,2/10 Net 30,2.23,Crude Oil / Polymers,Under Review
SUP-00153,Pacific Polymer Corp 153,Germany,EUR,LC At Sight,4.5,Steel,Under Review
SUP-00154,Global Microtech 154,China,CNY,Net 30,,Electronics,Inactive
SUP-00155,Atlas Chemical Resins 155,UK,GBP,Net 30,2.77,Copper,Active
SUP-00156,Precision Polymer Corp 156,Unknown,MXN,2/10 Net 30,4,Electronics,Inactive
SUP-00157,Bavarian Metal Tech 157,China,CNY,COD,3.95,Steel,Active
SUP-00158,Sino Polymer Corp 158,Japan,JPY,COD,2.2,Crude Oil / Polymers,Active
SUP-00159,Sino Metal Tech 159,Mexico,MXN,Net 30,2.21,Freight,Inactive
SUP-00160,Andean Logistics Parts 160,India,INR,COD,3.55,Packaging,Active
SUP-00161,Bavarian Metal Tech 161,India,INR,Net 30,2.68,Steel,Under Review
SUP-00162,Apex Microtech 162,USA,USD,Net 30,4.5,Steel,Under Review
SUP-00163,Andean Polymer Corp 163,Mexico,MXN,COD,3.87,Crude Oil / Polymers,Active
SUP-00164,Atlas Microtech 164,India,INR,LC At Sight,3.01,Electronics,Inactive
SUP-00165,Titan Logistics Parts 165,Mexico,MXN,Net 30,2.06,Copper,Inactive
SUP-00166,Atlas Microtech 166,Mexico,MXN,LC At Sight,4.08,Freight,Inactive
SUP-00167,Vanguard Logistics Parts 167,Mexico,MXN,2/10 Net 30,2.35,Copper,Inactive
SUP-00168,Pacific Polymer Corp 168,Vietnam,VND,Net 60,,Freight,Under Review
SUP-00169,Titan Cable & Wire 169,Unknown,INR,Net 30,2.25,Freight,Preferred
SUP-00170,Global Chemical Resins 170,China,CNY,Net 30,3.13,Crude Oil / Polymers,Active
SUP-00171,Horizon Logistics Parts 171,Chile,USD,COD,4.5,Packaging,Active
SUP-00172,Global Cable & Wire 172,Vietnam,VND,Net 30,4.14,Packaging,Active
SUP-00173,Nippon Electronics 173,Japan,JPY,2/10 Net 30,4.86,Freight,Under Review
SUP-00174,Apex Polymer Corp 174,Japan,JPY,Net 30,3.84,Electronics,Active
SUP-00175,Pacific Chemical Resins 175,USA,USD,Net 60,3.83,Crude Oil / Polymers,Under Review
SUP-00176,Titan Metal Tech 176,Mexico,MXN,2/10 Net 30,2.36,Crude Oil / Polymers,Inactive
SUP-00177,Vanguard Electronics 177,Germany,EUR,LC At Sight,3.16,Electronics,Under Review
SUP-00178,Bavarian Chemical Resins 178,Chile,USD,Net 60,4.22,Steel,Under Review
SUP-00179,Sino Cable & Wire 179,Japan,JPY,Net 30,3.84,Copper,Active
SUP-00180,Nippon Chemical Resins 180,Vietnam,VND,LC At Sight,4.5,Steel,Active
SUP-00181,Precision Cable & Wire 181,Japan,JPY,LC At Sight,2.3,Steel,Active
SUP-00182,Horizon Cable & Wire 182,Unknown,CAD,2/10 Net 30,,Steel,Active
SUP-00183,Horizon Chemical Resins 183,India,INR,2/10 Net 30,4.91,Freight,Active
SUP-00184,Vanguard Electronics 184,China,CNY,Net 30,3.53,Copper,Inactive
SUP-00185,Horizon Microtech 185,Chile,USD,Net 30,4.54,Freight,Preferred
SUP-00186,Atlas Electronics 186,South Korea,KRW,COD,3.49,Copper,Preferred
SUP-00187,Sino Metal Tech 187,Taiwan,TWD,2/10 Net 30,3.01,Electronics,Inactive
SUP-00188,Pacific Microtech 188,Vietnam,VND,COD,4.65,Rare Earths,Preferred
SUP-00189,Sino Cable & Wire 189,UK,GBP,LC At Sight,4.5,Steel,Preferred
SUP-00190,Nippon Metal Tech 190,South Korea,KRW,2/10 Net 30,3.29,Packaging,Active
SUP-00191,Nippon Industrial 191,UK,GBP,LC At Sight,4.23,Rare Earths,Active
SUP-00192,Apex Microtech 192,China,CNY,Net 30,3.47,Steel,Under Review
SUP-00193,Atlas Industrial 193,India,INR,Net 30,3.12,Packaging,Active
SUP-00194,Apex Polymer Corp 194,China,CNY,Net 60,2.37,Packaging,Active
SUP-00195,Titan Polymer Corp 195,Unknown,KRW,Net 30,2.96,Copper,Active
SUP-00196,Apex Cable & Wire 196,Canada,CAD,Net 30,,Steel,Inactive
SUP-00197,Pacific Polymer Corp 197,Canada,CAD,Net 30,4.48,Crude Oil / Polymers,Inactive
SUP-00198,Andean Electronics 198,UK,GBP,2/10 Net 30,4.5,Crude Oil / Polymers,Active
SUP-00199,Apex Cable & Wire 199,China,CNY,Net 30,3.33,Rare Earths,Active
SUP-00200,Andean Industrial 200,Japan,JPY,Net 30,2.06,Steel,Under Review
SUP-00201,Apex Electronics 201,Mexico,MXN,Net 30,3.35,Electronics,Inactive
SUP-00202,Apex Metal Tech 202,South Korea,KRW,Net 30,3.28,Copper,Active
SUP-00203,Precision Microtech 203,South Korea,KRW,Net 30,3.05,Crude Oil / Polymers,Active
SUP-00204,Atlas Chemical Resins 204,Chile,USD,LC At Sight,4.4,Rare Earths,Active
SUP-00205,Precision Microtech 205,UK,GBP,LC At Sight,2.23,Freight,Active
SUP-00206,Horizon Chemical Resins 206,UK,GBP,Net 60,4.57,Rare Earths,Preferred
SUP-00207,Sino Microtech 207,Vietnam,VND,LC At Sight,4.5,Packaging,Preferred
SUP-00208,Atlas Industrial 208,Unknown,USD,Net 30,3.67,Electronics,Preferred
SUP-00209,Bavarian Chemical Resins 209,South Korea,KRW,COD,4.56,Electronics,Active
SUP-00210,Precision Electronics 210,Japan,JPY,Net 30,,Rare Earths,Preferred
SUP-00211,Sino Chemical Resins 211,Chile,USD,Net 30,4.62,Crude Oil / Polymers,Active
SUP-00212,Nippon Cable & Wire 212,Vietnam,VND,Net 30,4.18,Freight,Active
SUP-00213,Titan Cable & Wire 213,South Korea,KRW,COD,3.27,Steel,Preferred
SUP-00214,Pacific Polymer Corp 214,UK,GBP,LC At Sight,4.47,Steel,Inactive
SUP-00215,Titan Electronics 215,Taiwan,TWD,Net 30,3.71,Electronics,Active
SUP-00216,Vanguard Industrial 216,Vietnam,VND,Net 30,4.5,Rare Earths,Active
SUP-00217,Bavarian Metal Tech 217,UK,GBP,Net 60,3.4,Packaging,Active
SUP-00218,Precision Chemical Resins 218,India,INR,2/10 Net 30,4.38,Copper,Inactive
SUP-00219,Vanguard Industrial 219,Chile,USD,Net 60,2.9,Rare Earths,Inactive
SUP-00220,Sino Metal Tech 220,China,CNY,Net 30,2.17,Crude Oil / Polymers,Active
SUP-00221,Global Cable & Wire 221,Unknown,TWD,2/10 Net 30,3.37,Freight,Preferred
SUP-00222,Andean Metal Tech 222,Chile,USD,Net 30,2.32,Steel,Active
SUP-00223,Apex Polymer Corp 223,Germany,EUR,LC At Sight,4.38,Packaging,Inactive
SUP-00224,Precision Industrial 224,USA,USD,Net 30,,Steel,Inactive
SUP-00225,Andean Metal Tech 225,Chile,USD,Net 60,4.5,Electronics,Preferred
SUP-00226,Titan Electronics 226,China,CNY,Net 30,3.24,Crude Oil / Polymers,Active
SUP-00227,Titan Logistics Parts 227,Taiwan,TWD,Net 60,4.15,Copper,Under Review
SUP-00228,Horizon Industrial 228,Mexico,MXN,Net 60,3.91,Crude Oil / Polymers,Inactive
SUP-00229,Global Chemical Resins 229,Germany,EUR,LC At Sight,2.39,Crude Oil / Polymers,Active
SUP-00230,Precision Electronics 230,India,INR,2/10 Net 30,2.45,Electronics,Active
SUP-00231,Precision Chemical Resins 231,USA,USD,Net 30,2.58,Steel,Active
SUP-00232,Vanguard Industrial 232,Germany,EUR,LC At Sight,4.98,Electronics,Preferred
SUP-00233,Titan Polymer Corp 233,Chile,USD,2/10 Net 30,2.66,Electronics,Active
SUP-00234,Apex Chemical Resins 234,Unknown,INR,2/10 Net 30,4.5,Copper,Inactive
SUP-00235,Andean Polymer Corp 235,Vietnam,VND,Net 30,3.39,Electronics,Inactive
SUP-00236,Atlas Logistics Parts 236,Japan,JPY,Net 30,3.66,Freight,Active
SUP-00237,Pacific Chemical Resins 237,Taiwan,TWD,COD,3.41,Crude Oil / Polymers,Active
SUP-00238,Atlas Cable & Wire 238,Mexico,MXN,Net 30,,Freight,Preferred
SUP-00239,Atlas Chemical Resins 239,India,INR,Net 30,4.97,Electronics,Inactive
SUP-00240,Nippon Chemical Resins 240,Mexico,MXN,COD,4.77,Electronics,Active
SUP-00241,Sino Electronics 241,South Korea,KRW,LC At Sight,4.85,Freight,Active
SUP-00242,Nippon Chemical Resins 242,Germany,EUR,Net 30,4.9,Rare Earths,Under Review
SUP-00243,Apex Electronics 243,UK,GBP,Net 30,4.5,Electronics,Active
SUP-00244,Precision Metal Tech 244,Germany,EUR,Net 30,4.27,Copper,Active
SUP-00245,Titan Microtech 245,India,INR,Net 30,2.09,Electronics,Active
SUP-00246,Global Cable & Wire 246,Germany,EUR,Net 30,3.5,Packaging,Inactive
SUP-00247,Pacific Cable & Wire 247,Unknown,INR,COD,3.85,Copper,Active
SUP-00248,Titan Electronics 248,Canada,CAD,Net 60,4.07,Copper,Inactive
SUP-00249,Titan Cable & Wire 249,UK,GBP,Net 30,3.62,Electronics,Preferred
SUP-00250,Titan Cable & Wire 250,South Korea,KRW,2/10 Net 30,4.58,Copper,Inactive
SUP-00251,Titan Metal Tech 251,South Korea,KRW,Net 60,4.8,Copper,Inactive
SUP-00252,Horizon Metal Tech 252,Mexico,MXN,Net 30,4.5,Rare Earths,Inactive
SUP-00253,Bavarian Industrial 253,Germany,EUR,COD,4.75,Rare Earths,Active
SUP-00254,Apex Chemical Resins 254,Germany,EUR,Net 30,3.27,Freight,Active
SUP-00255,Sino Microtech 255,Mexico,MXN,COD,2.03,Copper,Inactive
SUP-00256,Andean Electronics 256,UK,GBP,Net 30,3.18,Rare Earths,Inactive
SUP-00257,Atlas Microtech 257,Vietnam,VND,2/10 Net 30,2.9,Electronics,Inactive
SUP-00258,Pacific Chemical Resins 258,South Korea,KRW,LC At Sight,3.31,Steel,Active
SUP-00259,Apex Industrial 259,South Korea,KRW,LC At Sight,3.1,Crude Oil / Polymers,Preferred
SUP-00260,Andean Electronics 260,Unknown,USD,LC At Sight,2.95,Freight,Active
SUP-00261,Precision Cable & Wire 261,India,INR,Net 30,4.5,Rare Earths,Active
SUP-00262,Precision Chemical Resins 262,Japan,JPY,Net 30,3.38,Crude Oil / Polymers,Inactive
SUP-00263,Nippon Chemical Resins 263,Taiwan,TWD,Net 60,3.4,Steel,Active
SUP-00264,Sino Chemical Resins 264,Vietnam,VND,Net 30,3.89,Electronics,Inactive
SUP-00265,Bavarian Cable & Wire 265,Vietnam,VND,LC At Sight,2.2,Steel,Preferred
SUP-00266,Andean Industrial 266,Vietnam,VND,Net 30,,Steel,Active
SUP-00267,Apex Chemical Resins 267,Germany,EUR,COD,2.17,Rare Earths,Active
SUP-00268,Nippon Cable & Wire 268,Taiwan,TWD,Net 30,4.85,Electronics,Preferred
SUP-00269,Titan Chemical Resins 269,USA,USD,COD,2.85,Crude Oil / Polymers,Preferred
SUP-00270,Sino Electronics 270,Chile,USD,Net 60,4.5,Packaging,Inactive
SUP-00271,Precision Polymer Corp 271,India,INR,Net 30,2.8,Electronics,Under Review
SUP-00272,Global Logistics Parts 272,South Korea,KRW,Net 30,3.85,Steel,Inactive
SUP-00273,Andean Metal Tech 273,Unknown,VND,2/10 Net 30,2,Copper,Active
SUP-00274,Precision Metal Tech 274,Canada,CAD,Net 30,3.9,Copper,Active
SUP-00275,Bavarian Metal Tech 275,USA,USD,2/10 Net 30,4.83,Steel,Inactive
SUP-00276,Global Microtech 276,Taiwan,TWD,Net 30,3.48,Crude Oil / Polymers,Active
SUP-00277,Vanguard Electronics 277,USA,USD,Net 30,2.11,Packaging,Preferred
SUP-00278,Bavarian Electronics 278,Vietnam,VND,2/10 Net 30,4.08,Copper,Under Review
SUP-00279,Precision Industrial 279,Germany,EUR,Net 30,4.5,Electronics,Under Review
SUP-00280,Nippon Cable & Wire 280,Germany,EUR,Net 30,,Copper,Active
SUP-00281,Global Microtech 281,India,INR,Net 30,4.84,Copper,Inactive
SUP-00282,Sino Metal Tech 282,Canada,CAD,Net 30,2.01,Copper,Active
SUP-00283,Atlas Industrial 283,China,CNY,LC At Sight,3.33,Copper,Under Review
SUP-00284,Bavarian Polymer Corp 284,UK,GBP,Net 30,2.53,Packaging,Active
SUP-00285,Global Polymer Corp 285,Japan,JPY,Net 60,3.32,Packaging,Inactive
SUP-00286,Apex Logistics Parts 286,Unknown,TWD,LC At Sight,4.44,Steel,Active
SUP-00287,Vanguard Electronics 287,Taiwan,TWD,COD,2.52,Freight,Preferred
SUP-00288,Atlas Microtech 288,Taiwan,TWD,LC At Sight,4.5,Packaging,Active
SUP-00289,Precision Microtech 289,China,CNY,Net 60,2.18,Crude Oil / Polymers,Under Review
SUP-00290,Titan Polymer Corp 290,India,INR,Net 60,2.37,Packaging,Inactive
SUP-00291,Apex Logistics Parts 291,Taiwan,TWD,LC At Sight,4.63,Packaging,Active
SUP-00292,Sino Electronics 292,USA,USD,COD,3.21,Rare Earths,Active
SUP-00293,Vanguard Chemical Resins 293,India,INR,Net 30,2.17,Steel,Active
SUP-00294,Vanguard Polymer Corp 294,South Korea,KRW,Net 60,,Steel,Inactive
SUP-00295,Andean Logistics Parts 295,UK,GBP,2/10 Net 30,3.39,Electronics,Preferred
SUP-00296,Precision Polymer Corp 296,Japan,JPY,Net 30,2.36,Freight,Inactive
SUP-00297,Precision Logistics Parts 297,South Korea,KRW,Net 30,4.5,Crude Oil / Polymers,Inactive
SUP-00298,Precision Industrial 298,South Korea,KRW,LC At Sight,2.45,Rare Earths,Active
