PO_Number,SupplierID,ProductID,OrderDate,ExpectedDeliveryDate,QuantityOrdered,UnitCost,TotalPOValue,Currency,PO_Status
PO-SYN-0000073,SUP-00503,PRD-03529,2025-02-21,2025-04-05,1389,2393.37,3324390.93,usd,CANCELLED
PO-SYN-0000074,SUP-00527,PRD-02832,2025-01-13,2025-03-09,5525,1910.83,10557335.75,EUR,approved 
PO-SYN-0000075,SUP-00198,PRD-00707,12/19/2024,12-Jan-2025,803,,,EUR,FULFILLED
PO-SYN-0000076,SUP-00433,PRD-01789,2025-01-16,2025-02-28,12998,1773.73,23054942.54,EUR,CANCELLED
PO-SYN-0000077,SUP-00931,PRD-01921,2025-02-10,2025-04-24,2508,1557.22,3905507.76,USD,CANCELLED
PO-SYN-0000078,SUP-00282,PRD-03968,2024-06-05,2024-07-17,9596,335.12,3215811.52,eur,FULFILLED
PO-SYN-0000079,SUP-00552,PRD-03728,2024-06-28,2024-08-13,5336,849.01,4530317.36,eur,PENDING_APPROVAL
PO-SYN-0000080,SUP-00996,PRD-77777,06/22/2024,01-Aug-2024,5754,62.7,360775.8,EUR,FULFILLED
PO-SYN-0000081,SUP-00727,PRD-01165,2026/05/14,PENDING_DATE,5285,1964.03,10379898.55,eur,FULFILLED
PO-SYN-0000082,SUP-00975,PRD-03381,2025-10-13,2025-10-20,10132,379.5,3845094.0,USD,FULFILLED
PO-SYN-0000083,SUP-00561,PRD-02882,2025-02-03,2025-04-17,5319,422.99,2249883.81,USD,FULFILLED
PO-SYN-0000084,SUP-00523,PRD-01912,2025-07-14,2025-07-31,14263,1872.57,26708465.91,CNY,PENDING_APPROVAL
PO-SYN-0000085,SUP-00698,PRD-02365,12/31/2024,26-Jan-2025,979,1960.97,1919789.63,usd,IN_TRANSIT
PO-SYN-0000086,SUP-00375,PRD-00678,2024-11-19,2024-12-22,4633,287.08,1330041.64,JPY,IN_TRANSIT
PO-SYN-0000087,SUP-00075,PRD-04578,2025-08-28,2025-09-27,9051,31.95,289179.45,CNY,APPROVED
PO-SYN-0000088,SUP-00474,PRD-04281,2025-06-02,2025-08-02,1364,2420.4,3301425.6,JPY,APPROVED
PO-SYN-0000089,SUP-00582,PRD-00363,2025-05-06,2025-07-03,10364,2227.28,23083529.92,JPY,PENDING_APPROVAL
PO-SYN-0000090,SUP-00515,PRD-04641,02/11/2024,25-Feb-2024,-500,,,CNY,Approved
PO-SYN-0000091,SUP-00261,PRD-04999,2025-11-30,2026-01-02,6795,157.16,1067902.2,usd,FULFILLED
PO-SYN-0000092,SUP-00493,PRD-00386,2024-05-12,2024-06-17,12722,1301.6,16558955.2,JPY,CANCELLED
PO-SYN-0000093,SUP-00320,PRD-01046,2025-04-13,2025-06-21,3483,110.56,385080.48,GBP,approved 
PO-SYN-0000094,SUP-00802,PRD-04034,2025-08-06,2025-10-14,10084,908.07,9156977.88,CNY,CANCELLED
PO-SYN-0000095,SUP-00943,PRD-02937,01/25/2026,21-Feb-2026,1955,626.69,1225178.95,usd,approved 
PO-SYN-0000096,SUP-00381,PRD-00249,2024-06-11,2024-07-14,6078,1732.12,10527825.36,GBP,CANCELLED
PO-SYN-0000097,SUP-00088,PRD-02206,2024-07-18,2024-08-22,8421,332.16,2797119.36,usd,IN_TRANSIT
PO-SYN-0000098,SUP-00711,PRD-00230,2024-06-26,2024-07-31,4604,1426.35,6566915.4,EUR,CANCELLED
PO-SYN-0000099,SUP-00274,PRD-01868,2024/08/28,PENDING_DATE,8486,520.22,4414586.92,GBP,PENDING_APPROVAL
PO-SYN-0000100,SUP-00538,PRD-02608,05/25/2026,23-Jul-2026,1164,2020.38,2351722.32,EUR,Approved
PO-SYN-0000101,SUP-00419,PRD-01376,2025-03-26,2025-04-30,11916,607.7,7241353.2,usd,approved 
PO-SYN-0000102,SUP-00651,PRD-01114,2024-07-31,2024-09-16,9023,77.86,702530.78,JPY,APPROVED
PO-SYN-0000103,SUP-00816,PRD-02694,2025-11-09,2025-12-10,14831,702.17,10413883.27,CNY,approved 
PO-SYN-0000104,SUP-00570,PRD-02989,2024-07-30,2024-09-29,329,834.86,274668.94,usd,APPROVED
PO-SYN-0000105,SUP-88888,PRD-03850,12/25/2024,25-Jan-2025,5461,,,usd,PENDING_APPROVAL
PO-SYN-0000106,SUP-00901,PRD-04199,2024-03-30,2024-05-15,10563,2458.94,25973783.22,GBP,FULFILLED
PO-SYN-0000107,SUP-00210,PRD-01163,2026-06-15,2026-08-04,14219,299.7,4261434.3,usd,PENDING_APPROVAL
PO-SYN-0000108,SUP-00771,PRD-04651,2026/01/10,PENDING_DATE,5409,572.18,3094921.62,USD,FULFILLED
PO-SYN-0000109,SUP-00104,PRD-03037,2025-03-25,2025-04-27,13733,1532.1,21040329.3,EUR,CANCELLED
PO-SYN-0000110,SUP-00524,PRD-02296,01/10/2026,24-Jan-2026,5335,905.6,4831376.0,GBP,PENDING_APPROVAL
PO-SYN-0000111,SUP-00126,PRD-04749,2024-12-29,2025-01-19,6275,210.59,1321452.25,eur,CANCELLED
PO-SYN-0000112,SUP-00273,PRD-04289,2026-01-11,2026-02-21,4307,1762.09,7589321.63,GBP,CANCELLED
PO-SYN-0000113,SUP-00006,PRD-02369,2024-04-04,2024-05-04,14738,1630.07,24023971.66,usd,APPROVED
PO-SYN-0000114,SUP-00544,PRD-00457,2025-07-26,2025-08-24,13443,2343.92,31509316.56,USD,approved 
PO-SYN-0000115,SUP-00985,PRD-03096,01/27/2026,30-Mar-2026,14605,2355.13,34396673.65,JPY,IN_TRANSIT
PO-SYN-0000116,SUP-00964,PRD-04018,2026-03-26,2026-05-17,13686,2036.73,27874686.78,USD,Approved
PO-SYN-0000117,SUP-00733,PRD-00870,2026/02/10,PENDING_DATE,4614,688.08,3174801.12,USD,approved 
PO-SYN-0000118,SUP-00799,PRD-01855,2025-05-14,2025-07-09,8114,1347.75,10935643.5,eur,CANCELLED
PO-SYN-0000119,SUP-00578,PRD-03037,2024-08-06,2024-09-25,5676,2404.96,13650552.96,USD,PENDING_APPROVAL
PO-SYN-0000120,SUP-00042,PRD-77777,10/09/2024,15-Nov-2024,-500,,,USD,approved 
PO-SYN-0000121,SUP-00205,PRD-04247,2024-03-21,2024-05-30,14398,1116.96,16081990.08,CNY,IN_TRANSIT
PO-SYN-0000122,SUP-00715,PRD-01652,2024-10-28,2024-12-18,1443,861.28,1242827.04,eur,PENDING_APPROVAL
PO-SYN-0000123,SUP-00376,PRD-03650,2024-01-17,2024-03-10,7901,2347.73,18549414.73,eur,approved 
PO-SYN-0000124,SUP-00549,PRD-03324,2024-08-15,2024-09-16,2880,1063.84,3063859.2,CNY,CANCELLED
PO-SYN-0000125,SUP-00863,PRD-03590,10/26/2025,19-Nov-2025,11034,2157.26,23803206.84,USD,PENDING_APPROVAL
PO-SYN-0000126,SUP-00261,PRD-04737,2024/10/30,PENDING_DATE,12192,1939.13,23641872.96,JPY,IN_TRANSIT
PO-SYN-0000127,SUP-00396,PRD-01777,2024-04-14,2024-06-05,6556,859.98,5638028.88,GBP,FULFILLED
PO-SYN-0000128,SUP-00939,PRD-04659,2024-08-13,2024-10-06,10565,124.91,1319674.15,GBP,IN_TRANSIT
PO-SYN-0000129,SUP-00608,PRD-02090,2024-02-09,2024-04-15,7622,1950.97,14870293.34,eur,approved 
PO-SYN-0000130,SUP-00538,PRD-02314,05/17/2025,06-Jul-2025,5052,866.86,4379376.72,CNY,APPROVED
PO-SYN-0000131,SUP-00320,PRD-01983,2026-04-14,2026-04-27,5966,1461.6,8719905.6,GBP,FULFILLED
PO-SYN-0000132,SUP-00924,PRD-02311,2025-01-20,2025-03-29,9205,722.73,6652729.65,usd,APPROVED
PO-SYN-0000133,SUP-00705,PRD-04442,2026-02-13,2026-02-21,6414,814.24,5222535.36,JPY,FULFILLED
PO-SYN-0000134,SUP-00084,PRD-00897,2025-04-05,2025-05-17,9124,1699.03,15501949.72,CNY,approved 
PO-SYN-0000135,SUP-00722,PRD-04098,08/26/2024,03-Sep-2024,6485,,,CNY,CANCELLED
PO-SYN-0000136,SUP-00496,PRD-00914,2025-06-07,2025-07-27,10660,419.46,4471443.6,eur,FULFILLED
PO-SYN-0000137,SUP-00941,PRD-04605,2024-03-31,2024-05-01,13504,2082.19,28117893.76,GBP,IN_TRANSIT
PO-SYN-0000138,SUP-00485,PRD-02841,2026-02-24,2026-03-29,6342,1332.42,8450207.64,GBP,CANCELLED
PO-SYN-0000139,SUP-00277,PRD-02865,2024-12-24,2025-02-02,8610,1870.23,16102680.3,JPY,APPROVED
PO-SYN-0000140,SUP-88888,PRD-04893,11/19/2024,03-Dec-2024,13216,1305.76,17256924.16,JPY,approved 
PO-SYN-0000141,SUP-00364,PRD-03469,2026-06-01,2026-08-15,12927,2242.49,28988668.23,usd,Approved
PO-SYN-0000142,SUP-00798,PRD-02490,2026-05-03,2026-05-27,4662,1200.4,5596264.8,GBP,Approved
PO-SYN-0000143,SUP-00070,PRD-04294,2024-01-27,2024-02-08,11680,1287.29,15035547.2,JPY,FULFILLED
PO-SYN-0000144,SUP-00177,PRD-00557,2024/04/27,PENDING_DATE,11954,1939.66,23186695.64,EUR,CANCELLED
PO-SYN-0000145,SUP-00862,PRD-00971,09/11/2025,09-Oct-2025,4280,1349.96,5777828.8,USD,APPROVED
PO-SYN-0000146,SUP-00229,PRD-04770,2024-07-05,2024-07-21,6300,1331.94,8391222.0,JPY,Approved
PO-SYN-0000147,SUP-00190,PRD-02217,2026-02-28,2026-04-04,7087,86.24,611182.88,USD,approved 
PO-SYN-0000148,SUP-00218,PRD-00339,2024-07-06,2024-07-31,8380,820.57,6876376.6,EUR,PENDING_APPROVAL
PO-SYN-0000149,SUP-00525,PRD-02842,2025-07-05,2025-08-11,11755,2442.84,28715584.2,JPY,Approved
PO-SYN-0000150,SUP-00756,PRD-03527,05/18/2024,29-May-2024,-500,,,GBP,Approved
PO-SYN-0000151,SUP-00087,PRD-02488,2024-01-21,2024-03-29,7595,150.4,1142288.0,USD,Approved
PO-SYN-0000152,SUP-00904,PRD-02678,2024-04-07,2024-06-11,477,1491.06,711235.62,eur,APPROVED
PO-SYN-0000153,SUP-00875,PRD-03243,2025/03/27,PENDING_DATE,7068,769.6,5439532.8,EUR,Approved
PO-SYN-0000154,SUP-00752,PRD-04985,2026-05-08,2026-05-21,14469,1625.98,23526304.62,eur,Approved
PO-SYN-0000155,SUP-00831,PRD-03327,01/05/2025,16-Mar-2025,5338,235.88,1259127.44,CNY,PENDING_APPROVAL
PO-SYN-0000156,SUP-00810,PRD-00567,2024-09-11,2024-11-02,7654,601.25,4601967.5,USD,IN_TRANSIT
PO-SYN-0000157,SUP-00038,PRD-00768,2026-01-06,2026-01-14,1676,2031.87,3405414.12,CNY,Approved
PO-SYN-0000158,SUP-00865,PRD-01394,2024-04-18,2024-06-25,10213,1290.16,13176404.08,usd,CANCELLED
PO-SYN-0000159,SUP-00183,PRD-04035,2025-05-03,2025-06-17,5341,1676.25,8952851.25,CNY,CANCELLED
PO-SYN-0000160,SUP-00947,PRD-77777,02/18/2025,18-Apr-2025,5627,1456.92,8198088.84,USD,PENDING_APPROVAL
PO-SYN-0000161,SUP-00402,PRD-03035,2025-07-15,2025-08-23,12903,1706.98,22025162.94,EUR,Approved
PO-SYN-0000162,SUP-00487,PRD-00920,2026/06/15,PENDING_DATE,9088,2143.8,19482854.4,usd,Approved
PO-SYN-0000163,SUP-00447,PRD-00449,2024-06-02,2024-07-11,12507,1332.36,16663826.52,GBP,FULFILLED
PO-SYN-0000164,SUP-00352,PRD-01376,2024-09-20,2024-10-14,4218,2037.71,8595060.78,JPY,APPROVED
PO-SYN-0000165,SUP-00125,PRD-02697,06/22/2024,19-Aug-2024,12658,,,usd,CANCELLED
PO-SYN-0000166,SUP-00342,PRD-03054,2025-03-09,2025-03-21,11861,1144.68,13577049.48,GBP,approved 
PO-SYN-0000167,SUP-00072,PRD-02248,2024-04-08,2024-06-10,1905,954.44,1818208.2,eur,Approved
PO-SYN-0000168,SUP-00886,PRD-03362,2026-05-22,2026-07-03,13661,2309.64,31551992.04,EUR,CANCELLED
PO-SYN-0000169,SUP-00207,PRD-04295,2024-11-15,2025-01-18,11451,168.1,1924913.1,CNY,IN_TRANSIT
PO-SYN-0000170,SUP-00508,PRD-02406,05/24/2025,18-Jul-2025,13147,2220.79,29196726.13,CNY,CANCELLED
PO-SYN-0000171,SUP-00090,PRD-01601,2025/03/21,PENDING_DATE,5741,2032.37,11667836.17,EUR,Approved
PO-SYN-0000172,SUP-00058,PRD-00480,2025-02-19,2025-04-04,1148,1224.72,1405978.56,usd,approved 
PO-SYN-0000173,SUP-00284,PRD-00315,2026-06-05,2026-08-05,10462,1967.71,20586182.02,USD,Approved
PO-SYN-0000174,SUP-00455,PRD-01907,2026-04-24,2026-05-07,2043,339.38,693353.34,eur,CANCELLED
PO-SYN-0000175,SUP-88888,PRD-04162,09/24/2025,10-Nov-2025,9895,2393.0,23678735.0,EUR,CANCELLED
PO-SYN-0000176,SUP-00308,PRD-04461,2026-03-29,2026-05-09,14604,1518.2,22171792.8,JPY,IN_TRANSIT
PO-SYN-0000177,SUP-00891,PRD-02239,2026-04-24,2026-06-25,12898,885.52,11421436.96,USD,IN_TRANSIT
PO-SYN-0000178,SUP-00110,PRD-02373,2026-02-28,2026-03-27,6442,1020.89,6576573.38,CNY,CANCELLED
PO-SYN-0000179,SUP-00483,PRD-00138,2024-01-27,2024-03-25,6333,1634.71,10352618.43,CNY,IN_TRANSIT
PO-SYN-0000180,SUP-00233,PRD-04242,09/09/2025,25-Sep-2025,-500,,,EUR,CANCELLED
PO-SYN-0000181,SUP-00966,PRD-00908,2024-03-03,2024-05-12,4093,271.41,1110881.13,EUR,PENDING_APPROVAL
PO-SYN-0000182,SUP-00450,PRD-02712,2024-08-18,2024-09-09,5039,2356.19,11872841.41,GBP,CANCELLED
PO-SYN-0000183,SUP-00634,PRD-01215,2025-06-22,2025-07-12,10516,627.21,6595740.36,GBP,IN_TRANSIT
PO-SYN-0000184,SUP-00681,PRD-01180,2024-10-30,2025-01-13,12006,963.94,11573063.64,eur,APPROVED
PO-SYN-0000185,SUP-00936,PRD-00108,01/19/2025,26-Mar-2025,1997,1412.41,2820582.77,eur,Approved
PO-SYN-0000186,SUP-00735,PRD-00822,2025-03-18,2025-04-16,4182,831.56,3477583.92,GBP,Approved
PO-SYN-0000187,SUP-00638,PRD-00287,2024-12-01,2025-01-30,10753,1581.16,17002213.48,GBP,FULFILLED
PO-SYN-0000188,SUP-00832,PRD-03035,2024-07-27,2024-08-04,7681,1047.5,8045847.5,CNY,approved 
PO-SYN-0000189,SUP-00873,PRD-00537,2025/08/19,PENDING_DATE,11212,1404.26,15744563.12,CNY,APPROVED
PO-SYN-0000190,SUP-00690,PRD-01863,04/30/2025,31-May-2025,12208,493.1,6019764.8,usd,CANCELLED
PO-SYN-0000191,SUP-00384,PRD-04939,2026-05-11,2026-07-09,6631,284.44,1886121.64,JPY,CANCELLED
PO-SYN-0000192,SUP-00912,PRD-00509,2024-06-08,2024-07-18,7698,2112.5,16262025.0,CNY,CANCELLED
PO-SYN-0000193,SUP-00483,PRD-03412,2024-08-28,2024-11-01,14520,1386.39,20130382.8,usd,approved 
PO-SYN-0000194,SUP-00188,PRD-03676,2025-08-26,2025-09-08,6102,498.59,3042396.18,USD,approved 
PO-SYN-0000195,SUP-00174,PRD-03245,05/20/2026,25-Jul-2026,11802,,,eur,IN_TRANSIT
PO-SYN-0000196,SUP-00007,PRD-01997,2024-02-12,2024-04-01,131,535.4,70137.4,JPY,FULFILLED
PO-SYN-0000197,SUP-00706,PRD-00333,2025-11-12,2026-01-17,1776,2477.1,4399329.6,JPY,IN_TRANSIT
PO-SYN-0000198,SUP-00527,PRD-00899,2024/02/22,PENDING_DATE,10793,2202.2,23768344.6,eur,APPROVED
PO-SYN-0000199,SUP-00252,PRD-02546,2026-03-29,2026-05-22,11435,625.58,7153507.3,USD,PENDING_APPROVAL
PO-SYN-0000200,SUP-00114,PRD-77777,10/12/2024,23-Nov-2024,10286,95.85,985913.1,CNY,APPROVED
PO-SYN-0000201,SUP-00366,PRD-02523,2025-03-02,2025-04-27,7131,415.13,2960292.03,usd,IN_TRANSIT
PO-SYN-0000202,SUP-00249,PRD-02264,2024-11-21,2025-01-28,368,956.9,352139.2,CNY,APPROVED
PO-SYN-0000203,SUP-00096,PRD-01379,2025-07-14,2025-07-21,14373,1054.9,15162077.7,JPY,CANCELLED
PO-SYN-0000204,SUP-00393,PRD-00577,2025-07-05,2025-08-17,8329,1356.78,11300620.62,GBP,CANCELLED
PO-SYN-0000205,SUP-00750,PRD-02827,03/09/2025,22-Apr-2025,14355,2108.64,30269527.2,GBP,IN_TRANSIT
PO-SYN-0000206,SUP-00488,PRD-03217,2026-02-08,2026-04-13,1450,52.95,76777.5,USD,approved 
PO-SYN-0000207,SUP-00981,PRD-03477,2025/07/06,PENDING_DATE,9268,442.37,4099885.16,GBP,CANCELLED
PO-SYN-0000208,SUP-00711,PRD-01926,2024-06-25,2024-07-27,6204,436.93,2710713.72,usd,Approved
PO-SYN-0000209,SUP-00511,PRD-04619,2025-12-06,2026-01-01,465,2228.77,1036378.05,JPY,APPROVED
PO-SYN-0000210,SUP-88888,PRD-03186,02/28/2026,21-Apr-2026,-500,,,eur,Approved
PO-SYN-0000211,SUP-00805,PRD-04713,2024-01-13,2024-02-16,3408,172.84,589038.72,CNY,FULFILLED
PO-SYN-0000212,SUP-00184,PRD-04933,2025-09-25,2025-11-06,8529,1550.26,13222167.54,JPY,CANCELLED
PO-SYN-0000213,SUP-00080,PRD-02176,2024-05-05,2024-06-30,11314,953.59,10788917.26,usd,APPROVED
PO-SYN-0000214,SUP-00598,PRD-04202,2024-09-07,2024-10-26,14480,2336.53,33832954.4,usd,Approved
PO-SYN-0000215,SUP-00917,PRD-01289,02/25/2025,22-Mar-2025,12960,961.55,12461688.0,GBP,Approved
PO-SYN-0000216,SUP-00152,PRD-01190,2025/02/05,PENDING_DATE,5596,1743.61,9757241.56,usd,Approved
PO-SYN-0000217,SUP-00224,PRD-01310,2026-02-11,2026-04-04,7327,1739.08,12742239.16,USD,CANCELLED
PO-SYN-0000218,SUP-00362,PRD-00637,2024-12-25,2025-03-08,2333,1674.67,3907005.11,EUR,PENDING_APPROVAL
PO-SYN-0000219,SUP-00617,PRD-03091,2024-08-08,2024-08-24,12287,254.8,3130727.6,usd,PENDING_APPROVAL
PO-SYN-0000220,SUP-00525,PRD-03389,11/10/2025,04-Jan-2026,7622,1745.77,13306258.94,usd,FULFILLED
