ShipmentID,PO_Number,OriginWarehouseID,Carrier,TransportMode,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,BaseFreightCost,FuelSurcharge_CrudeIndexed,Currency,ShipmentStatus
SHP-0000071,PO-SYN-0016042,WH-06,FEDEX EXPRESS,Truck,2024-05-30,2024-06-14,N/A,1328.37,271.0,USD,SCHEDULED
SHP-0000072,PO-SYN-0010606,WH-35,MAERSK,Truck,2026-04-06,2026-04-21,2026-04-27,$609.25,82.0,USD,DELIVERED
SHP-0000073,PO-SYN-0000918,WH-14,MAERSK,Road Transport,2024-12-26,2025-01-10,2025-01-21,23723.73,4079.35,USD,Delivered
SHP-0000074,PO-SYN-0012491,WH-03,Fed-Ex,Ocean,2026-02-28,2026-03-15,N/A,13695.11,4427.79,USD,DELAYED_WEATHER
SHP-0000075,PO-SYN-0006584,WH-24,DHL Express,Ocean,2025-09-08,2025-09-23,2025-09-03,22536.68,2831.01,USD,DELIVERED
SHP-0000076,PO-SYN-0000493,WH-38,MAERSK,Truck,2025-04-10,2025-04-25,2025-04-19,4976.15,953.39,USD,Delivered
SHP-0000077,PO-SYN-0005974,WH-09,DHL Express,Air Freight,2024-09-09,2024-09-24,N/A,14100.64,3930.83,USD,PORT_CUSTOMS_HOLD
SHP-0000078,PO-SYN-0019718,WH-05,DHL Express,Ocean,2026-05-21,2026-06-05,2026-06-14,8245.52,1424.56,USD,Delivered
SHP-0000079,PO-SYN-0009108,WH-43,Maersk Line,AIR,2025-11-10,2025-11-25,2025-11-19,18670.67,2397.1,USD,DELIVERED
SHP-0000080,PO-SYN-0001107,WH-01,Fed-Ex,Ocean Freight,2024-06-27,2024-07-12,N/A,$8926.37,2562.9,USD,PORT_CUSTOMS_HOLD
SHP-0000081,PO-SYN-0005009,WH-14,FedEx,Truck,2025-08-08,2025-08-23,N/A,22330.82,5130.65,USD,SCHEDULED
SHP-0000082,PO-SYN-0004446,WH-10,FEDEX EXPRESS,Road Transport,2025-06-22,2025-07-07,N/A,4488.1,1200.64,USD,IN_TRANSIT
SHP-0000083,PO-SYN-0004874,WH-44,DB Schenker,Ocean Freight,2024-12-04,2024-12-19,N/A,5331.26,1357.84,USD,PORT_CUSTOMS_HOLD
SHP-0000084,PO-SYN-0018253,WH-05,MAERSK,Air Freight,2025-02-14,2025-03-01,N/A,FREE,3890.96,USD,PORT_CUSTOMS_HOLD
SHP-0000085,PO-SYN-0002456,WH-27,Fed-Ex,AIR,2025-01-30,2025-02-14,2025-02-10,17549.65,3368.37,USD,Delivered
SHP-0000086,PO-SYN-0010014,WH-45,Fed-Ex,Ocean Freight,2025-01-23,2025-02-07,N/A,3902.26,974.17,USD,IN_TRANSIT
SHP-0000087,PO-SYN-0011489,WH-03,MSC Logistics,Air Freight,2024-10-04,2024-10-19,2024-11-09,4874.01,1354.75,USD,DELIVERED
SHP-0000088,PO-SYN-0003693,WH-27,MSC Logistics,Ocean Freight,2025-11-10,2025-11-25,N/A,$14589.66,2737.49,USD,SCHEDULED
SHP-0000089,PO-SYN-0012006,WH-40,DB Schenker,Air Freight,2026-04-01,2026-04-16,N/A,4490.73,840.46,USD,SCHEDULED
SHP-0000090,PO-SYN-0018667,WH-18,MAERSK,Truck,2024-07-01,2024-07-16,N/A,2506.85,387.68,USD,PORT_CUSTOMS_HOLD
SHP-0000091,PO-SYN-0000877,WH-10,MSC Logistics,Truck,2024-12-01,2024-12-16,N/A,17615.24,5343.46,USD,PORT_CUSTOMS_HOLD
SHP-0000092,PO-SYN-0007489,WH-24,Maersk Line,Road Transport,2025-09-09,2025-09-24,N/A,1534.25,324.39,USD,PORT_CUSTOMS_HOLD
SHP-0000093,PO-SYN-0004302,WH-23,DHL Express,Air Freight,2026-06-16,2026-07-01,2026-06-21,10390.86,3466.02,USD,DELIVERED
SHP-0000094,PO-SYN-0012318,WH-24,MSC Logistics,Truck,2025-04-06,2025-04-21,2025-04-27,914.92,317.27,USD,DELIVERED
SHP-0000095,PO-SYN-0009486,WH-16,Maersk Line,Ocean,2024-02-10,2024-02-25,2024-03-20,4462.81,992.65,USD,Delivered
SHP-0000096,PO-SYN-0006846,WH-05,MSC Logistics,AIR,2024-05-28,2024-06-12,N/A,$9869.38,3113.96,USD,IN_TRANSIT
SHP-0000097,PO-SYN-0007432,WH-03,DHL,Truck,2026-04-10,2026-04-25,N/A,16578.79,5241.72,USD,DELAYED_WEATHER
SHP-0000098,PO-SYN-0004501,WH-01,DB Schenker,Air Freight,2025-09-21,2025-10-06,N/A,FREE,3107.57,USD,DELAYED_WEATHER
SHP-0000099,PO-SYN-0012682,WH-11,MAERSK,Road Transport,2026-05-19,2026-06-03,2026-06-19,22687.02,2787.2,USD,Delivered
SHP-0000100,PO-SYN-0007953,WH-49,Maersk Line,Ocean Freight,2025-10-22,2025-11-06,2025-10-17,,4484.08,USD,DELIVERED
SHP-0000101,PO-SYN-0006572,WH-17,DHL,Ocean Freight,2024-10-08,2024-10-23,2024-11-03,1161.17,265.12,USD,DELIVERED
SHP-0000102,PO-SYN-0012080,WH-08,DB Schenker,Air Freight,2024-02-10,2024-02-25,N/A,1612.96,413.47,USD,PORT_CUSTOMS_HOLD
SHP-0000103,PO-SYN-0014767,WH-14,MAERSK,AIR,2025-09-01,2025-09-16,N/A,2639.18,903.59,USD,IN_TRANSIT
SHP-0000104,PO-SYN-0000267,WH-33,DHL,Truck,2024-12-21,2025-01-05,N/A,$16471.75,3047.98,USD,DELAYED_WEATHER
SHP-0000105,PO-SYN-0005380,WH-36,FedEx,Ocean,2025-12-17,2026-01-01,2025-12-30,16455.13,3387.87,USD,Delivered
SHP-0000106,PO-SYN-0010708,WH-34,DB Schenker,AIR,2025-07-10,2025-07-25,N/A,13190.84,4052.81,USD,SCHEDULED
SHP-0000107,PO-SYN-0000608,WH-50,DHL,Ocean Freight,2024-07-09,2024-07-24,N/A,11998.97,3158.17,USD,IN_TRANSIT
SHP-0000108,PO-SYN-0017434,WH-09,Maersk Line,Truck,2025-02-16,2025-03-03,N/A,3208.33,503.38,USD,IN_TRANSIT
SHP-0000109,PO-SYN-0008141,WH-46,FedEx,Ocean Freight,2024-10-24,2024-11-08,N/A,21518.27,7004.24,USD,SCHEDULED
SHP-0000110,PO-SYN-0011468,WH-34,FedEx,Ocean Freight,2025-06-04,2025-06-19,2025-07-02,10540.44,1533.0,USD,DELIVERED
SHP-0000111,PO-SYN-0001587,WH-17,MAERSK,Road Transport,2025-09-26,2025-10-11,N/A,24297.28,7783.55,USD,IN_TRANSIT
SHP-0000112,PO-SYN-0014377,WH-19,MAERSK,Ocean Freight,2025-02-02,2025-02-17,2025-02-22,$959.6,117.53,USD,Delivered
SHP-0000113,PO-SYN-0001831,WH-46,Fed-Ex,AIR,2025-02-06,2025-02-21,N/A,8373.33,1163.01,USD,SCHEDULED
SHP-0000114,PO-SYN-0016487,WH-46,DHL,Ocean,2024-06-28,2024-07-13,N/A,19010.82,3891.2,USD,DELAYED_WEATHER
SHP-0000115,PO-SYN-0019884,WH-31,Fed-Ex,AIR,2025-10-06,2025-10-21,N/A,18343.32,2390.54,USD,SCHEDULED
SHP-0000116,PO-SYN-0002862,WH-07,Maersk Line,Air Freight,2026-01-01,2026-01-16,N/A,5478.36,919.0,USD,IN_TRANSIT
SHP-0000117,PO-SYN-0019552,WH-39,DHL,Air Freight,2025-08-01,2025-08-16,2025-09-08,15500.54,4535.99,USD,Delivered
SHP-0000118,PO-SYN-0018507,WH-18,FEDEX EXPRESS,Ocean Freight,2025-04-21,2025-05-06,2025-05-07,15740.24,2356.39,USD,DELIVERED
SHP-0000119,PO-SYN-0010285,WH-43,MSC Logistics,Ocean Freight,2026-02-20,2026-03-07,2026-03-01,10660.68,2909.08,USD,DELIVERED
SHP-0000120,PO-SYN-0001860,WH-25,MSC Logistics,Ocean,2024-09-02,2024-09-17,N/A,$2690.33,845.44,USD,DELAYED_WEATHER
SHP-0000121,PO-SYN-0016695,WH-12,DHL,Air Freight,2024-09-05,2024-09-20,N/A,20867.8,6115.0,USD,DELAYED_WEATHER
SHP-0000122,PO-SYN-0011135,WH-42,FEDEX EXPRESS,AIR,2026-02-08,2026-02-23,N/A,16300.65,2937.6,USD,IN_TRANSIT
SHP-0000123,PO-SYN-0012474,WH-06,Fed-Ex,Ocean,2026-04-09,2026-04-24,2026-04-25,18892.17,3622.02,USD,Delivered
SHP-0000124,PO-SYN-0001267,WH-49,Fed-Ex,Ocean,2025-07-12,2025-07-27,N/A,1182.78,155.6,USD,IN_TRANSIT
SHP-0000125,PO-SYN-0001455,WH-40,FEDEX EXPRESS,Road Transport,2024-07-09,2024-07-24,N/A,12223.89,2867.69,USD,SCHEDULED
SHP-0000126,PO-SYN-0015973,WH-05,DHL Express,AIR,2025-05-13,2025-05-28,N/A,FREE,4439.45,USD,DELAYED_WEATHER
SHP-0000127,PO-SYN-0014601,WH-47,MAERSK,Ocean Freight,2025-08-20,2025-09-04,N/A,13849.82,2141.81,USD,PORT_CUSTOMS_HOLD
SHP-0000128,PO-SYN-0004519,WH-22,DHL,AIR,2024-09-19,2024-10-04,N/A,$487.84,82.35,USD,IN_TRANSIT
SHP-0000129,PO-SYN-0008623,WH-24,MSC Logistics,Air Freight,2026-02-08,2026-02-23,N/A,24117.19,4234.59,USD,PORT_CUSTOMS_HOLD
SHP-0000130,PO-SYN-0001835,WH-49,MAERSK,Ocean Freight,2026-04-09,2026-04-24,2026-04-15,16380.27,5216.46,USD,DELIVERED
SHP-0000131,PO-SYN-0012442,WH-36,DHL Express,Ocean Freight,2026-04-13,2026-04-28,2026-04-16,23015.24,7002.82,USD,Delivered
SHP-0000132,PO-SYN-0012524,WH-03,FedEx,Truck,2024-03-24,2024-04-08,N/A,16366.34,4686.59,USD,IN_TRANSIT
SHP-0000133,PO-SYN-0019763,WH-18,MSC Logistics,Ocean Freight,2025-11-10,2025-11-25,N/A,8804.03,2583.59,USD,IN_TRANSIT
SHP-0000134,PO-SYN-0009985,WH-15,MAERSK,Ocean Freight,2026-04-15,2026-04-30,N/A,9873.8,3315.74,USD,DELAYED_WEATHER
SHP-0000135,PO-SYN-0004402,WH-08,DB Schenker,AIR,2024-05-13,2024-05-28,N/A,22801.31,4103.95,USD,IN_TRANSIT
SHP-0000136,PO-SYN-0004600,WH-26,MSC Logistics,Truck,2025-02-19,2025-03-06,N/A,$11345.74,1551.75,USD,DELAYED_WEATHER
SHP-0000137,PO-SYN-0018715,WH-09,Fed-Ex,Road Transport,2024-02-16,2024-03-02,N/A,23057.33,7065.47,USD,DELAYED_WEATHER
SHP-0000138,PO-SYN-0002209,WH-02,DHL,Ocean,2024-03-20,2024-04-04,2024-04-07,6543.86,895.0,USD,Delivered
SHP-0000139,PO-SYN-0008038,WH-45,MAERSK,Ocean Freight,2025-11-07,2025-11-22,2025-11-22,21873.13,6380.73,USD,Delivered
SHP-0000140,PO-SYN-0017122,WH-32,Maersk Line,Truck,2026-05-25,2026-06-09,N/A,FREE,4758.49,USD,PORT_CUSTOMS_HOLD
SHP-0000141,PO-SYN-0017568,WH-17,FedEx,Ocean Freight,2025-08-12,2025-08-27,2025-09-08,6028.65,917.09,USD,DELIVERED
SHP-0000142,PO-SYN-0006502,WH-30,MSC Logistics,AIR,2025-10-22,2025-11-06,N/A,18275.25,3559.52,USD,DELAYED_WEATHER
SHP-0000143,PO-SYN-0006546,WH-35,DB Schenker,Ocean,2024-05-26,2024-06-10,N/A,24187.11,5033.12,USD,PORT_CUSTOMS_HOLD
SHP-0000144,PO-SYN-0004209,WH-09,Maersk Line,Truck,2025-09-28,2025-10-13,2025-10-27,$7685.86,979.38,USD,DELIVERED
SHP-0000145,PO-SYN-0012106,WH-34,FedEx,Road Transport,2026-04-27,2026-05-12,N/A,10901.79,3512.59,USD,DELAYED_WEATHER
SHP-0000146,PO-SYN-0017010,WH-36,FEDEX EXPRESS,Ocean,2024-10-28,2024-11-12,N/A,9374.64,1832.19,USD,DELAYED_WEATHER
SHP-0000147,PO-SYN-0016151,WH-12,DB Schenker,Ocean Freight,2024-05-22,2024-06-06,N/A,8544.77,1311.8,USD,SCHEDULED
SHP-0000148,PO-SYN-0010731,WH-39,FEDEX EXPRESS,AIR,2024-09-30,2024-10-15,N/A,22996.84,5502.49,USD,DELAYED_WEATHER
SHP-0000149,PO-SYN-0004083,WH-29,MSC Logistics,AIR,2025-08-29,2025-09-13,2025-09-09,2603.78,692.87,USD,DELIVERED
SHP-0000150,PO-SYN-0006362,WH-47,DHL,Ocean,2024-03-08,2024-03-23,N/A,2097.92,271.67,USD,DELAYED_WEATHER
SHP-0000151,PO-SYN-0007451,WH-24,MAERSK,Air Freight,2025-10-06,2025-10-21,N/A,15437.02,2796.12,USD,PORT_CUSTOMS_HOLD
SHP-0000152,PO-SYN-0017118,WH-30,FedEx,Ocean Freight,2026-05-08,2026-05-23,N/A,$10382.53,2626.64,USD,IN_TRANSIT
SHP-0000153,PO-SYN-0003592,WH-03,FedEx,Ocean Freight,2026-04-06,2026-04-21,2026-04-29,14369.85,1873.76,USD,DELIVERED
SHP-0000154,PO-SYN-0005994,WH-06,FEDEX EXPRESS,Road Transport,2025-03-29,2025-04-13,N/A,FREE,2530.99,USD,DELAYED_WEATHER
SHP-0000155,PO-SYN-0013226,WH-42,DHL Express,Air Freight,2024-08-12,2024-08-27,N/A,23441.74,7782.29,USD,DELAYED_WEATHER
SHP-0000156,PO-SYN-0012844,WH-24,MAERSK,Ocean Freight,2024-04-27,2024-05-12,2024-06-05,2130.5,538.77,USD,DELIVERED
SHP-0000157,PO-SYN-0005259,WH-36,Fed-Ex,Air Freight,2024-05-13,2024-05-28,2024-05-22,10064.43,2470.36,USD,DELIVERED
SHP-0000158,PO-SYN-0007967,WH-23,DHL,Road Transport,2025-06-02,2025-06-17,2025-06-27,7955.72,1332.25,USD,DELIVERED
SHP-0000159,PO-SYN-0017646,WH-05,Fed-Ex,Road Transport,2025-04-17,2025-05-02,2025-04-21,5623.62,1038.99,USD,DELIVERED
SHP-0000160,PO-SYN-0017105,WH-09,FedEx,Air Freight,2026-03-29,2026-04-13,N/A,$2559.04,721.76,USD,DELAYED_WEATHER
SHP-0000161,PO-SYN-0007420,WH-47,MAERSK,Air Freight,2025-11-13,2025-11-28,N/A,17847.6,2236.46,USD,SCHEDULED
SHP-0000162,PO-SYN-0001920,WH-10,DB Schenker,Truck,2026-06-09,2026-06-24,N/A,6047.69,843.11,USD,DELAYED_WEATHER
SHP-0000163,PO-SYN-0003227,WH-36,Maersk Line,Truck,2024-07-22,2024-08-06,N/A,1514.87,398.36,USD,PORT_CUSTOMS_HOLD
SHP-0000164,PO-SYN-0008109,WH-06,DHL Express,AIR,2025-01-21,2025-02-05,N/A,19671.24,6117.92,USD,IN_TRANSIT
SHP-0000165,PO-SYN-0015804,WH-37,DHL,Truck,2026-03-03,2026-03-18,2026-04-07,19118.94,2833.19,USD,Delivered
SHP-0000166,PO-SYN-0007323,WH-34,Fed-Ex,Ocean Freight,2025-08-03,2025-08-18,2025-08-10,1659.84,235.96,USD,DELIVERED
SHP-0000167,PO-SYN-0008380,WH-20,FedEx,Road Transport,2024-02-07,2024-02-22,N/A,10277.25,2314.91,USD,DELAYED_WEATHER
SHP-0000168,PO-SYN-0004055,WH-33,MSC Logistics,Ocean,2025-08-03,2025-08-18,N/A,$2021.15,321.32,USD,IN_TRANSIT
SHP-0000169,PO-SYN-0004506,WH-15,DB Schenker,Air Freight,2024-05-30,2024-06-14,N/A,6310.35,1678.52,USD,IN_TRANSIT
SHP-0000170,PO-SYN-0000110,WH-43,Fed-Ex,Air Freight,2025-10-30,2025-11-14,N/A,22876.74,5131.59,USD,IN_TRANSIT
SHP-0000171,PO-SYN-0016226,WH-40,DHL Express,Truck,2024-08-23,2024-09-07,2024-09-20,18557.1,5787.5,USD,DELIVERED
SHP-0000172,PO-SYN-0013781,WH-20,FedEx,Ocean,2025-02-23,2025-03-10,N/A,16369.41,4444.67,USD,PORT_CUSTOMS_HOLD
SHP-0000173,PO-SYN-0004729,WH-48,FedEx,Ocean,2026-01-14,2026-01-29,N/A,5304.03,1553.74,USD,DELAYED_WEATHER
SHP-0000174,PO-SYN-0014291,WH-39,DB Schenker,Ocean Freight,2025-07-02,2025-07-17,N/A,15568.86,5173.63,USD,IN_TRANSIT
SHP-0000175,PO-SYN-0016964,WH-49,FEDEX EXPRESS,Ocean Freight,2025-11-17,2025-12-02,N/A,11483.07,3718.04,USD,DELAYED_WEATHER
SHP-0000176,PO-SYN-0016906,WH-14,DHL Express,Air Freight,2025-11-12,2025-11-27,N/A,$7630.85,2529.29,USD,IN_TRANSIT
