InventoryID,WarehouseID,ProductID,QuantityOnHand,QuantityAllocated,QuantityAvailable,SafetyStock,LastRestockDate,StorageBin
INV-0000045,WH-40,PRD-04793,-100,4324,-4424,,05-10-2024,ZONE-J-32
INV-0000046,WH-01,PRD-00889,17895,5020,12875,250 units,30-03-2024,ZONE-K-8
INV-0000047,WH-26,PRD-04352,23269,208,23061,500,17-09-2025,ZONE-L-26
INV-0000048,WH-35,PRD-03941,6347,920,5427,250,24-02-2025,ZONE-A-Aisle18
INV-0000049,WH-04,PRD-03465,17459,6490,10969,250 units,02-02-2025,bin_49
INV-0000050,WH-42,PRD-04321,8511,6342,2169,250 units,,ZONE-C-24
INV-0000051,WH-38,PRD-01789,14752,2720,12032,250,19-12-2025,ZONE-D-22
INV-0000052,WH-18,PRD-03563,5914,4256,1658,500,18-06-2025,ZONE-E-Aisle28
INV-0000053,WH-39,PRD-03791,13735,715,13020,250 units,14-04-2025,ZONE-F-35
INV-0000054,WH-49,PRD-01423,10488,6431,4057,250 units,21-06-2024,ZONE-G-16
INV-0000055,WH-23,PRD-02582,18816,5246,13570,500,30-09-2025,ZONE-H-29
INV-0000056,WH-11,PRD-00200,29311,5069,24242,250,10-03-2026,ZONE-I-Aisle06
INV-0000057,WH-48,PRD-04532,4142,2504,1638,250,28-11-2024,ZONE-J-23
INV-0000058,WH-10,PRD-01768,9376,2671,6705,250,08-04-2025,ZONE-K-35
INV-0000059,WH-25,PRD-02128,17123,323,16800,500,31-08-2024,ZONE-L-34
INV-0000060,WH-23,PRD-03855,7494,6550,944,250 units,,ZONE-A-Aisle21
INV-0000061,WH-26,PRD-02807,25354,4677,20677,250,13-03-2024,ZONE-B-7
INV-0000062,WH-40,PRD-00225,13886,3550,10336,1000,17-08-2024,ZONE-C-20
INV-0000063,WH-50,PRD-03089,30893,5274,25619,250,13-11-2024,bin_63
INV-0000064,WH-24,PRD-03927,6309,1112,5197,1000,24-02-2024,ZONE-E-Aisle27
INV-0000065,WH-28,PRD-02200,19718,5749,13969,500,08-01-2025,ZONE-F-10
INV-0000066,WH-13,PRD-01653,26654,1537,25117,500,11-05-2025,ZONE-G-23
INV-0000067,WH-49,PRD-03387,29968,1556,28412,250 units,12-10-2025,ZONE-H-40
INV-0000068,WH-25,PRD-00631,329,1787,-1458,1000,14-03-2024,ZONE-I-Aisle09
INV-0000069,WH-31,PRD-03795,9563,1685,7878,500,31-12-2025,ZONE-J-23
INV-0000070,WH-12,PRD-03121,10401,3771,6630,500,,bin_70
INV-0000071,WH-32,PRD-03042,11185,195,10990,,03-02-2024,ZONE-L-40
INV-0000072,WH-19,PRD-01702,30191,2362,27829,1000,14-04-2026,ZONE-A-Aisle13
INV-0000073,WH-36,PRD-01322,4587,7457,-2870,250,15-10-2025,ZONE-B-29
INV-0000074,WH-47,PRD-01588,31984,7417,24567,250,01-04-2025,ZONE-C-20
INV-0000075,WH-26,PRD-02757,27068,1124,25944,250 units,02-07-2024,ZONE-D-12
INV-0000076,WH-40,PRD-04921,30545,4406,26139,1000,02-07-2024,ZONE-E-Aisle21
INV-0000077,WH-48,PRD-02485,14204,1851,12353,500,16-08-2025,bin_77
INV-0000078,WH-40,PRD-01282,10032,1241,8791,,21-05-2026,ZONE-G-39
INV-0000079,WH-47,PRD-04459,9797,6688,3109,250 units,11-07-2024,ZONE-H-3
INV-0000080,WH-06,PRD-00531,22382,7064,15318,500,,ZONE-I-Aisle40
INV-0000081,WH-26,PRD-03143,31531,6812,24719,1000,29-09-2024,ZONE-J-40
INV-0000082,WH-38,PRD-01835,28665,2840,25825,500,30-11-2025,ZONE-K-13
INV-0000083,WH-43,PRD-04731,3059,5479,-2420,1000,05-06-2024,ZONE-L-15
INV-0000084,WH-08,PRD-04322,2196,893,1303,500,11-12-2025,ZONE-A-Aisle15
INV-0000085,WH-16,PRD-01027,26027,3364,22663,,14-11-2025,ZONE-B-6
INV-0000086,WH-03,PRD-01839,3582,6677,-3095,250 units,14-12-2025,ZONE-C-37
INV-0000087,WH-44,PRD-02771,15099,839,14260,1000,30-04-2026,ZONE-D-9
INV-0000088,WH-28,PRD-04765,22694,4249,18445,1000,18-08-2025,ZONE-E-Aisle07
INV-0000089,WH-47,PRD-02206,14682,4828,9854,250 units,14-09-2025,ZONE-F-9
INV-0000090,WH-24,PRD-01476,-100,3674,-3774,250 units,,ZONE-G-38
INV-0000091,WH-28,PRD-04565,11293,6240,5053,250 units,29-04-2026,bin_91
INV-0000092,WH-09,PRD-04712,9168,6386,2782,,27-03-2025,ZONE-I-Aisle27
INV-0000093,WH-35,PRD-00470,14644,3436,11208,,15-07-2025,ZONE-J-15
INV-0000094,WH-29,PRD-01664,29169,226,28943,250 units,23-02-2024,ZONE-K-2
INV-0000095,WH-02,PRD-01518,293,6435,-6142,250,24-05-2025,ZONE-L-18
INV-0000096,WH-36,PRD-02736,21506,4533,16973,250 units,27-03-2026,ZONE-A-Aisle33
INV-0000097,WH-13,PRD-01499,15727,4910,10817,250,05-03-2026,ZONE-B-16
INV-0000098,WH-46,PRD-04174,1235,840,395,500,01-03-2024,bin_98
INV-0000099,WH-38,PRD-00922,6938,4956,1982,,25-12-2024,ZONE-D-17
INV-0000100,WH-30,PRD-02910,16173,1323,14850,250,,ZONE-E-Aisle02
INV-0000101,WH-10,PRD-02611,5156,849,4307,1000,13-05-2024,ZONE-F-18
INV-0000102,WH-38,PRD-04360,28266,170,28096,250,04-05-2024,ZONE-G-30
INV-0000103,WH-20,PRD-02477,1271,5146,-3875,,10-05-2024,ZONE-H-29
INV-0000104,WH-21,PRD-00901,32852,3849,29003,500,04-02-2024,ZONE-I-Aisle07
INV-0000105,WH-01,PRD-01235,9844,6883,2961,250 units,11-05-2025,bin_105
INV-0000106,WH-03,PRD-04970,24145,1405,22740,250 units,07-06-2026,ZONE-K-19
INV-0000107,WH-43,PRD-02512,12929,3003,9926,1000,17-04-2026,ZONE-L-37
INV-0000108,WH-20,PRD-02706,9079,6026,3053,250 units,21-02-2025,ZONE-A-Aisle22
INV-0000109,WH-36,PRD-00912,2026,257,1769,500,28-01-2026,ZONE-B-13
INV-0000110,WH-27,PRD-03716,14250,1576,12674,500,,ZONE-C-37
INV-0000111,WH-02,PRD-02032,15759,1719,14040,,05-04-2025,ZONE-D-2
INV-0000112,WH-15,PRD-04920,23276,5820,17456,250 units,31-01-2024,ZONE-E-Aisle40
INV-0000113,WH-27,PRD-00849,30333,1215,29118,500,23-12-2024,ZONE-F-37
INV-0000114,WH-23,PRD-04599,2263,7232,-4969,250,22-01-2026,ZONE-G-8
INV-0000115,WH-08,PRD-00375,34972,1068,33904,500,03-01-2026,ZONE-H-7
INV-0000116,WH-30,PRD-03114,21877,7295,14582,,24-05-2026,ZONE-I-Aisle18
INV-0000117,WH-35,PRD-00116,24758,1356,23402,500,07-02-2025,ZONE-J-31
INV-0000118,WH-14,PRD-00464,10813,459,10354,250 units,09-06-2024,ZONE-K-27
INV-0000119,WH-41,PRD-00025,9684,1803,7881,250 units,17-09-2024,bin_119
INV-0000120,WH-17,PRD-00951,10778,3055,7723,,,ZONE-A-Aisle23
INV-0000121,WH-32,PRD-02371,14502,5575,8927,500,25-11-2025,ZONE-B-2
INV-0000122,WH-18,PRD-04504,23870,6701,17169,250 units,21-04-2024,ZONE-C-2
INV-0000123,WH-34,PRD-00219,1685,5300,-3615,,26-11-2025,ZONE-D-21
INV-0000124,WH-32,PRD-00322,29945,627,29318,250 units,11-09-2024,ZONE-E-Aisle19
INV-0000125,WH-12,PRD-01495,3239,452,2787,1000,19-01-2026,ZONE-F-15
INV-0000126,WH-02,PRD-04959,9790,7029,2761,250,21-03-2024,bin_126
INV-0000127,WH-33,PRD-00439,32547,887,31660,,04-02-2024,ZONE-H-38
INV-0000128,WH-30,PRD-00022,3460,1916,1544,500,12-03-2024,ZONE-I-Aisle10
INV-0000129,WH-47,PRD-02241,30514,4379,26135,,07-05-2025,ZONE-J-38
INV-0000130,WH-17,PRD-00128,15130,6064,9066,,,ZONE-K-22
INV-0000131,WH-29,PRD-01101,24240,129,24111,250,27-11-2024,ZONE-L-30
INV-0000132,WH-46,PRD-01639,24191,4209,19982,250,23-04-2026,ZONE-A-Aisle31
INV-0000133,WH-23,PRD-00600,29546,237,29309,,28-01-2026,bin_133
INV-0000134,WH-20,PRD-01415,5231,2683,2548,500,16-05-2025,ZONE-C-24
INV-0000135,WH-10,PRD-02467,-100,1159,-1259,,01-03-2024,ZONE-D-1
INV-0000136,WH-48,PRD-03332,11268,2748,8520,250,04-05-2024,ZONE-E-Aisle17
INV-0000137,WH-25,PRD-01114,34278,322,33956,500,04-10-2024,ZONE-F-17
INV-0000138,WH-49,PRD-04962,1810,1711,99,1000,27-02-2024,ZONE-G-3
INV-0000139,WH-04,PRD-03058,4999,2535,2464,,28-10-2024,ZONE-H-8
INV-0000140,WH-11,PRD-03924,16407,2057,14350,,,ZONE-I-Aisle05
INV-0000141,WH-50,PRD-01719,19011,3968,15043,250,31-01-2026,ZONE-J-2
INV-0000142,WH-25,PRD-03004,4484,6038,-1554,,13-05-2026,ZONE-K-21
INV-0000143,WH-08,PRD-03725,24586,1841,22745,250,05-11-2024,ZONE-L-30
INV-0000144,WH-34,PRD-02658,14768,1494,13274,1000,26-11-2025,ZONE-A-Aisle03
INV-0000145,WH-07,PRD-02994,15551,4419,11132,250 units,13-06-2026,ZONE-B-5
INV-0000146,WH-17,PRD-04327,18910,6149,12761,250 units,17-01-2026,ZONE-C-39
INV-0000147,WH-38,PRD-03012,31925,1598,30327,,12-12-2024,bin_147
INV-0000148,WH-34,PRD-04117,13862,4500,9362,250,20-01-2026,ZONE-E-Aisle30
INV-0000149,WH-08,PRD-01309,18258,4063,14195,250,07-06-2025,ZONE-F-26
INV-0000150,WH-42,PRD-04180,23288,2441,20847,250 units,,ZONE-G-18
INV-0000151,WH-04,PRD-04483,16827,247,16580,1000,30-05-2026,ZONE-H-39
INV-0000152,WH-31,PRD-03180,5462,7006,-1544,250,29-09-2024,ZONE-I-Aisle29
INV-0000153,WH-14,PRD-01873,7129,6456,673,250,07-02-2024,ZONE-J-19
INV-0000154,WH-04,PRD-01702,22416,4967,17449,500,08-08-2025,bin_154
INV-0000155,WH-24,PRD-02345,28726,1089,27637,500,23-05-2026,ZONE-L-27
INV-0000156,WH-38,PRD-01862,32542,4312,28230,1000,18-02-2025,ZONE-A-Aisle20
INV-0000157,WH-30,PRD-02220,1368,6780,-5412,,26-02-2025,ZONE-B-21
INV-0000158,WH-04,PRD-02426,33239,7251,25988,,06-11-2025,ZONE-C-35
INV-0000159,WH-20,PRD-01137,20805,890,19915,,08-04-2025,ZONE-D-18
INV-0000160,WH-18,PRD-02757,18395,5456,12939,250,,ZONE-E-Aisle27
INV-0000161,WH-46,PRD-01931,28866,2462,26404,1000,08-05-2026,bin_161
INV-0000162,WH-32,PRD-01077,23082,4850,18232,250 units,06-05-2026,ZONE-G-33
INV-0000163,WH-22,PRD-01999,1542,7198,-5656,250,24-09-2025,ZONE-H-26
INV-0000164,WH-25,PRD-04125,32440,7403,25037,1000,20-12-2025,ZONE-I-Aisle13
INV-0000165,WH-35,PRD-03035,25779,6657,19122,1000,20-10-2024,ZONE-J-5
INV-0000166,WH-05,PRD-04728,5864,3132,2732,1000,11-09-2025,ZONE-K-28
INV-0000167,WH-13,PRD-03830,6413,5761,652,500,29-12-2025,ZONE-L-37
INV-0000168,WH-43,PRD-04261,5827,1662,4165,250 units,13-09-2024,ZONE-A-Aisle12
INV-0000169,WH-02,PRD-04626,1057,3346,-2289,,13-04-2025,ZONE-B-25
INV-0000170,WH-39,PRD-03192,17654,5578,12076,,,ZONE-C-28
INV-0000171,WH-25,PRD-00591,3832,218,3614,1000,02-07-2024,ZONE-D-11
INV-0000172,WH-03,PRD-00035,15373,5806,9567,,22-02-2025,ZONE-E-Aisle03
INV-0000173,WH-29,PRD-01128,3337,5767,-2430,500,27-11-2025,ZONE-F-29
INV-0000174,WH-46,PRD-00760,29771,2018,27753,,02-11-2025,ZONE-G-24
INV-0000175,WH-19,PRD-04617,34631,344,34287,250,25-01-2024,bin_175
INV-0000176,WH-49,PRD-00377,5405,5232,173,500,16-01-2024,ZONE-I-Aisle10
INV-0000177,WH-48,PRD-00874,2472,6250,-3778,250,25-01-2026,ZONE-J-1
INV-0000178,WH-50,PRD-04829,26723,2857,23866,1000,16-02-2024,ZONE-K-36
INV-0000179,WH-48,PRD-00365,10611,1184,9427,,28-03-2025,ZONE-L-10
INV-0000180,WH-47,PRD-02754,-100,5359,-5459,250,,ZONE-A-Aisle19
INV-0000181,WH-33,PRD-03583,21499,3653,17846,,08-05-2026,ZONE-B-12
INV-0000182,WH-22,PRD-01649,24533,3588,20945,250 units,16-02-2026,bin_182
INV-0000183,WH-30,PRD-01615,18037,1850,16187,1000,31-05-2024,ZONE-D-40
INV-0000184,WH-02,PRD-01230,14637,5944,8693,250,19-12-2025,ZONE-E-Aisle38
INV-0000185,WH-45,PRD-01266,1783,1636,147,250 units,28-12-2025,ZONE-F-23
INV-0000186,WH-18,PRD-03075,25230,2532,22698,250,20-08-2025,ZONE-G-19
INV-0000187,WH-07,PRD-02477,13913,5815,8098,,09-08-2024,ZONE-H-21
INV-0000188,WH-23,PRD-03708,9336,5498,3838,250 units,05-08-2025,ZONE-I-Aisle25
INV-0000189,WH-49,PRD-03834,21333,5865,15468,1000,14-09-2024,bin_189
INV-0000190,WH-14,PRD-01780,1013,4440,-3427,250,,ZONE-K-40
INV-0000191,WH-33,PRD-02792,9915,7411,2504,1000,06-01-2025,ZONE-L-27
INV-0000192,WH-13,PRD-03795,13431,4613,8818,250,30-01-2026,ZONE-A-Aisle28
INV-0000193,WH-49,PRD-01665,1075,4003,-2928,1000,26-02-2025,ZONE-B-16
INV-0000194,WH-40,PRD-03226,3535,468,3067,,28-03-2024,ZONE-C-1
INV-0000195,WH-20,PRD-02890,13050,4046,9004,,01-01-2025,ZONE-D-28
INV-0000196,WH-44,PRD-03393,28879,1307,27572,1000,16-12-2025,ZONE-E-Aisle17
INV-0000197,WH-18,PRD-02534,25220,2602,22618,500,29-12-2025,ZONE-F-23
INV-0000198,WH-25,PRD-04724,144,2957,-2813,500,21-07-2025,ZONE-G-25
INV-0000199,WH-50,PRD-02378,15644,2865,12779,,17-07-2024,ZONE-H-5
INV-0000200,WH-02,PRD-03798,6119,6722,-603,500,,ZONE-I-Aisle18
INV-0000201,WH-07,PRD-00374,23663,6369,17294,250 units,31-05-2025,ZONE-J-11
INV-0000202,WH-33,PRD-04861,33414,5853,27561,,31-01-2025,ZONE-K-9
INV-0000203,WH-15,PRD-00818,2708,4783,-2075,500,27-06-2024,bin_203
INV-0000204,WH-18,PRD-00872,33032,7044,25988,250,20-09-2024,ZONE-A-Aisle35
INV-0000205,WH-42,PRD-02892,5183,2129,3054,500,09-08-2024,ZONE-B-31
INV-0000206,WH-06,PRD-01288,22777,3135,19642,500,16-09-2024,ZONE-C-33
INV-0000207,WH-23,PRD-00810,23342,3763,19579,500,06-01-2025,ZONE-D-37
INV-0000208,WH-30,PRD-04465,7398,3162,4236,,12-04-2025,ZONE-E-Aisle39
INV-0000209,WH-24,PRD-03412,5286,2409,2877,500,17-03-2024,ZONE-F-35
INV-0000210,WH-37,PRD-03772,22340,4914,17426,250 units,,bin_210
INV-0000211,WH-09,PRD-02247,20259,5622,14637,250,08-04-2026,ZONE-H-6
INV-0000212,WH-03,PRD-02425,33353,5360,27993,250,24-12-2025,ZONE-I-Aisle08
INV-0000213,WH-40,PRD-01449,13338,805,12533,500,10-12-2024,ZONE-J-23
INV-0000214,WH-08,PRD-04374,20729,7320,13409,250 units,13-03-2024,ZONE-K-21
INV-0000215,WH-13,PRD-02238,1956,2374,-418,1000,08-05-2026,ZONE-L-10
INV-0000216,WH-21,PRD-02206,21770,1073,20697,250,05-01-2026,ZONE-A-Aisle14
INV-0000217,WH-21,PRD-02957,31787,4867,26920,1000,19-06-2024,bin_217
INV-0000218,WH-08,PRD-01012,30341,5955,24386,500,10-04-2024,ZONE-C-9
INV-0000219,WH-10,PRD-00455,15066,124,14942,500,24-11-2025,ZONE-D-1
INV-0000220,WH-04,PRD-01559,11861,310,11551,,,ZONE-E-Aisle39
INV-0000221,WH-47,PRD-01712,22868,2753,20115,250,26-02-2026,ZONE-F-12
INV-0000222,WH-07,PRD-02131,34895,6606,28289,,31-10-2024,ZONE-G-2
INV-0000223,WH-14,PRD-01595,33625,1461,32164,250,15-09-2025,ZONE-H-21
INV-0000224,WH-12,PRD-04387,33946,7044,26902,250,27-01-2026,ZONE-I-Aisle08
INV-0000225,WH-38,PRD-02656,-100,3828,-3928,250 units,30-09-2024,ZONE-J-23
INV-0000226,WH-42,PRD-01042,18316,4030,14286,,03-10-2024,ZONE-K-14
INV-0000227,WH-35,PRD-00561,2347,6140,-3793,1000,20-09-2024,ZONE-L-33
INV-0000228,WH-44,PRD-00129,13254,6287,6967,500,17-01-2026,ZONE-A-Aisle14
INV-0000229,WH-01,PRD-03903,29172,5432,23740,250,18-01-2024,ZONE-B-24
INV-0000230,WH-16,PRD-00833,16246,6954,9292,,,ZONE-C-22
INV-0000231,WH-16,PRD-01846,23028,212,22816,250 units,03-11-2025,bin_231
INV-0000232,WH-33,PRD-03890,16819,2779,14040,500,24-01-2025,ZONE-E-Aisle16
INV-0000233,WH-40,PRD-04871,10787,2949,7838,1000,21-04-2024,ZONE-F-28
INV-0000234,WH-14,PRD-01497,20064,2260,17804,250,21-01-2025,ZONE-G-23
INV-0000235,WH-31,PRD-04324,12362,6680,5682,,25-10-2024,ZONE-H-6
INV-0000236,WH-17,PRD-04680,25848,149,25699,250 units,02-10-2025,ZONE-I-Aisle04
INV-0000237,WH-06,PRD-01412,18170,2455,15715,500,29-12-2024,ZONE-J-2
INV-0000238,WH-01,PRD-01869,14932,5449,9483,1000,10-08-2024,bin_238
INV-0000239,WH-14,PRD-02589,14530,5312,9218,500,01-11-2025,ZONE-L-14
INV-0000240,WH-09,PRD-03214,24448,5578,18870,,,ZONE-A-Aisle31
INV-0000241,WH-04,PRD-03282,16893,6620,10273,250 units,09-12-2025,ZONE-B-1
INV-0000242,WH-33,PRD-02758,10244,1461,8783,250 units,14-06-2024,ZONE-C-1
INV-0000243,WH-25,PRD-02431,26080,5269,20811,500,16-04-2024,ZONE-D-13
INV-0000244,WH-21,PRD-00709,29691,2503,27188,250,20-09-2025,ZONE-E-Aisle25
INV-0000245,WH-30,PRD-03313,14923,1403,13520,1000,20-05-2025,bin_245
INV-0000246,WH-39,PRD-00608,6631,5812,819,250 units,20-07-2024,ZONE-G-34
INV-0000247,WH-49,PRD-04419,20489,4732,15757,500,03-07-2025,ZONE-H-13
INV-0000248,WH-29,PRD-03318,30796,4384,26412,250 units,17-02-2025,ZONE-I-Aisle05
INV-0000249,WH-28,PRD-04456,26195,585,25610,,26-05-2026,ZONE-J-1
INV-0000250,WH-45,PRD-00286,30875,555,30320,250 units,,ZONE-K-18
INV-0000251,WH-41,PRD-04571,8724,2348,6376,,29-07-2024,ZONE-L-6
INV-0000252,WH-04,PRD-00042,10881,7121,3760,500,14-07-2025,ZONE-A-Aisle23
INV-0000253,WH-35,PRD-01249,2025,5150,-3125,500,13-08-2024,ZONE-B-22
INV-0000254,WH-47,PRD-02773,18431,1806,16625,1000,22-01-2026,ZONE-C-12
INV-0000255,WH-02,PRD-02174,13186,5362,7824,1000,02-12-2025,ZONE-D-16
INV-0000256,WH-11,PRD-04470,15630,1922,13708,,21-10-2024,ZONE-E-Aisle21
INV-0000257,WH-05,PRD-00857,13028,5894,7134,,08-09-2024,ZONE-F-1
INV-0000258,WH-48,PRD-03038,5051,3713,1338,,04-11-2024,ZONE-G-13
INV-0000259,WH-12,PRD-00802,14360,4497,9863,500,02-01-2025,bin_259
INV-0000260,WH-44,PRD-03123,24760,5410,19350,500,,ZONE-I-Aisle08
INV-0000261,WH-03,PRD-01484,1747,3316,-1569,500,27-05-2026,ZONE-J-38
INV-0000262,WH-41,PRD-02157,20928,639,20289,250,05-04-2026,ZONE-K-36
INV-0000263,WH-08,PRD-03497,13731,1412,12319,,11-08-2024,ZONE-L-29
INV-0000264,WH-19,PRD-04467,20836,7148,13688,250,09-03-2024,ZONE-A-Aisle14
INV-0000265,WH-05,PRD-03741,22067,3002,19065,250 units,14-05-2026,ZONE-B-3
INV-0000266,WH-24,PRD-04555,34752,2443,32309,,15-07-2024,bin_266
INV-0000267,WH-31,PRD-02199,2624,4306,-1682,500,07-11-2024,ZONE-D-26
INV-0000268,WH-08,PRD-01226,25851,3997,21854,250 units,27-05-2024,ZONE-E-Aisle11
INV-0000269,WH-38,PRD-00008,26549,2656,23893,,24-09-2025,ZONE-F-28
INV-0000270,WH-37,PRD-04192,-100,364,-464,500,,ZONE-G-23
INV-0000271,WH-47,PRD-02845,1793,1841,-48,1000,06-11-2025,ZONE-H-13
INV-0000272,WH-21,PRD-00995,12432,5254,7178,1000,23-06-2024,ZONE-I-Aisle13
INV-0000273,WH-38,PRD-00979,28151,111,28040,250 units,25-07-2025,bin_273
INV-0000274,WH-13,PRD-01843,11501,2542,8959,1000,16-09-2025,ZONE-K-25
INV-0000275,WH-44,PRD-02982,13768,5888,7880,,17-06-2026,ZONE-L-21
INV-0000276,WH-27,PRD-03425,112,7275,-7163,,03-10-2025,ZONE-A-Aisle05
INV-0000277,WH-11,PRD-02014,29314,1329,27985,,16-05-2024,ZONE-B-20
INV-0000278,WH-43,PRD-00239,29062,4797,24265,,14-05-2025,ZONE-C-24
INV-0000279,WH-25,PRD-02762,21329,1878,19451,1000,01-10-2025,ZONE-D-15
INV-0000280,WH-05,PRD-02596,6534,7243,-709,250 units,,ZONE-E-Aisle03
INV-0000281,WH-22,PRD-04060,20449,2063,18386,500,27-08-2024,ZONE-F-32
INV-0000282,WH-16,PRD-02514,23493,7163,16330,250,18-05-2026,ZONE-G-20
INV-0000283,WH-08,PRD-04452,29222,852,28370,,13-04-2024,ZONE-H-20
INV-0000284,WH-35,PRD-02495,31472,1959,29513,1000,16-03-2025,ZONE-I-Aisle25
INV-0000285,WH-32,PRD-01188,9693,5693,4000,1000,11-04-2025,ZONE-J-18
INV-0000286,WH-37,PRD-00901,23474,2557,20917,250,12-12-2024,ZONE-K-8
INV-0000287,WH-30,PRD-00070,15794,1661,14133,250 units,11-09-2024,bin_287
INV-0000288,WH-39,PRD-01062,24113,5138,18975,1000,14-10-2024,ZONE-A-Aisle08
INV-0000289,WH-38,PRD-04206,5355,5954,-599,250,07-05-2025,ZONE-B-30
INV-0000290,WH-25,PRD-01749,18345,6997,11348,250,,ZONE-C-11
INV-0000291,WH-45,PRD-03365,26926,915,26011,250 units,20-02-2025,ZONE-D-2
INV-0000292,WH-26,PRD-02067,3661,4732,-1071,,14-06-2024,ZONE-E-Aisle22
INV-0000293,WH-25,PRD-04152,28668,2776,25892,,06-01-2025,ZONE-F-14
INV-0000294,WH-02,PRD-00545,8788,867,7921,1000,09-07-2025,bin_294
INV-0000295,WH-16,PRD-04581,3085,414,2671,250,10-11-2024,ZONE-H-5
INV-0000296,WH-02,PRD-04465,15133,1323,13810,500,31-05-2024,ZONE-I-Aisle13
INV-0000297,WH-22,PRD-03190,10179,5689,4490,,21-05-2025,ZONE-J-38
INV-0000298,WH-29,PRD-02246,1139,718,421,500,27-07-2025,ZONE-K-14
INV-0000299,WH-14,PRD-03563,631,359,272,250 units,02-01-2026,ZONE-L-13
