ShipmentID,PO_Number,OriginWarehouseID,Carrier,TransportMode,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,FuelSurcharge_CrudeIndexed,Currency,ShipmentStatus,BaseFreightCost
SHP-0000036,PO-SYN-0012379,WH-48,DHL Express,Air Freight,21-12-2024,05-01-2025,04-01-2025,6357.7,USD,Scheduled,19694.2
SHP-0000037,PO-SYN-0010086,WH-03,FedEx,Road Transport,10-06-2025,25-06-2025,23-06-2025,4126.08,USD,Delayed_Weather,22673.61
SHP-0000038,PO-SYN-0011676,WH-35,Maersk,Ocean Freight,27-10-2025,11-11-2025,13-11-2025,2391.37,USD,Delivered,12885.66
SHP-0000039,PO-SYN-0010263,WH-37,FedEx,Road Transport,07-10-2024,22-10-2024,26-10-2024,2029.82,USD,Port_Customs_Hold,7549.24
SHP-0000040,PO-SYN-0008109,WH-31,DHL,Air Freight,02-04-2024,17-04-2024,24-04-2024,2361.85,USD,Delayed_Weather,10770.29
SHP-0000041,PO-SYN-0010382,WH-14,FedEx Express,Ocean Freight,21-09-2025,06-10-2025,08-10-2025,797.71,USD,Delivered,5537.38
SHP-0000042,PO-SYN-0002959,WH-01,DHL Express,Ocean Freight,20-12-2025,04-01-2026,06-01-2026,1132.6,USD,Scheduled,0
SHP-0000043,PO-SYN-0014433,WH-33,DHL,Air Freight,27-11-2025,12-12-2025,05-12-2025,2136.82,USD,Delivered,9447.52
SHP-0000044,PO-SYN-0010212,WH-08,DHL,Road Transport,15-12-2024,30-12-2024,31-12-2024,2720.61,USD,Port_Customs_Hold,21058.54
SHP-0000045,PO-SYN-0019920,WH-21,DB Schenker,Ocean Freight,06-02-2025,21-02-2025,08-03-2025,3099.31,USD,Delivered,22544.84
SHP-0000046,PO-SYN-0017047,WH-36,DHL,Road Transport,17-12-2024,01-01-2025,30-12-2024,5613.05,USD,Port_Customs_Hold,19821.9
SHP-0000047,PO-SYN-0010876,WH-21,FedEx Express,Ocean Freight,16-12-2024,31-12-2024,10-01-2025,1574.85,USD,Port_Customs_Hold,5213.83
SHP-0000048,PO-SYN-0018383,WH-27,FedEx,Air Freight,05-01-2026,20-01-2026,21-01-2026,3759.95,USD,Delivered,14029.12
SHP-0000049,PO-SYN-0006803,WH-04,DB Schenker,Ocean Freight,27-06-2025,12-07-2025,09-07-2025,3137.91,USD,Delivered,9491.71
SHP-0000050,PO-SYN-0012054,WH-37,Maersk Line,Ocean Freight,06-07-2025,21-07-2025,20-07-2025,3706.14,USD,Scheduled,18263.28
SHP-0000051,PO-SYN-0005685,WH-23,Maersk,Ocean Freight,14-01-2026,29-01-2026,06-02-2026,1708.29,USD,In_Transit,7983.94
SHP-0000052,PO-SYN-0009430,WH-17,FedEx,Ocean Freight,20-01-2025,04-02-2025,11-02-2025,678.33,USD,Scheduled,5526.2
SHP-0000053,PO-SYN-0016804,WH-08,Maersk,Air Freight,19-04-2026,04-05-2026,06-05-2026,538.83,USD,Delayed_Weather,4336.07
SHP-0000054,PO-SYN-0005824,WH-03,DHL Express,Ocean Freight,27-06-2025,12-07-2025,23-07-2025,4290.67,USD,In_Transit,19170.92
SHP-0000055,PO-SYN-0011998,WH-21,FedEx,Ocean Freight,11-03-2026,26-03-2026,10-04-2026,8198.89,USD,Delivered,24144.69
SHP-0000056,PO-SYN-0011852,WH-11,FedEx,Truck,03-12-2024,18-12-2024,20-12-2024,1010.82,USD,In_Transit,2989.65
SHP-0000057,PO-SYN-0013812,WH-23,DHL Express,Truck,17-11-2025,02-12-2025,09-12-2025,551.15,USD,Port_Customs_Hold,3026.85
SHP-0000058,PO-SYN-0016276,WH-20,FedEx,Road Transport,19-12-2025,03-01-2026,14-01-2026,3158.21,USD,Delayed_Weather,21440.08
SHP-0000059,PO-SYN-0000742,WH-25,Maersk Line,Truck,23-05-2026,07-06-2026,31-05-2026,4883.7,USD,Delivered,15578
SHP-0000060,PO-SYN-0008065,WH-22,FedEx Express,Ocean Freight,01-05-2026,16-05-2026,20-05-2026,3046.34,USD,Scheduled,6152.255
SHP-0000061,PO-SYN-0005104,WH-23,FedEx Express,Ocean Freight,09-09-2025,24-09-2025,28-09-2025,2006.12,USD,In_Transit,13311.72
SHP-0000062,PO-SYN-0019784,WH-07,Maersk,Ocean Freight,22-05-2026,06-06-2026,13-06-2026,1484.88,USD,Scheduled,7567.47
SHP-0000063,PO-SYN-0018559,WH-27,DHL,Ocean Freight,15-05-2024,30-05-2024,05-06-2024,2198.87,USD,In_Transit,11924
SHP-0000064,PO-SYN-0005750,WH-30,DHL Express,Ocean Freight,06-10-2025,21-10-2025,19-10-2025,4450.2,USD,Delivered,22365.07
SHP-0000065,PO-SYN-0004897,WH-17,DHL,Air Freight,30-07-2025,14-08-2025,17-08-2025,3049.73,USD,In_Transit,22203.13
SHP-0000066,PO-SYN-0002472,WH-38,MSC Logistics,Air Freight,24-07-2024,08-08-2024,29-07-2024,4161.34,USD,Delivered,16719.47
SHP-0000067,PO-SYN-0005733,WH-37,DB Schenker,Ocean Freight,13-09-2024,28-09-2024,26-09-2024,2673.62,USD,In_Transit,18423.15
SHP-0000068,PO-SYN-0002542,WH-50,Maersk,Ocean Freight,11-08-2024,26-08-2024,27-08-2024,845.3,USD,Delayed_Weather,5742.47
SHP-0000069,PO-SYN-0009243,WH-43,Maersk Line,Road Transport,13-08-2025,28-08-2025,30-08-2025,2168.13,USD,Scheduled,17459.6
SHP-0000070,PO-SYN-0012266,WH-45,FedEx,Air Freight,29-02-2024,15-03-2024,14-03-2024,2062.37,USD,Delayed_Weather,0
SHP-0000071,PO-SYN-0016042,WH-06,FedEx Express,Truck,30-05-2024,14-06-2024,17-06-2024,271,USD,Scheduled,1328.37
SHP-0000072,PO-SYN-0010606,WH-35,Maersk,Truck,06-04-2026,21-04-2026,27-04-2026,82,USD,Delivered,609.25
SHP-0000073,PO-SYN-0000918,WH-14,Maersk,Road Transport,26-12-2024,10-01-2025,21-01-2025,4079.35,USD,Delivered,23723.73
SHP-0000074,PO-SYN-0012491,WH-03,FedEx,Ocean Freight,28-02-2026,15-03-2026,22-03-2026,4427.79,USD,Delayed_Weather,13695.11
SHP-0000075,PO-SYN-0006584,WH-24,DHL Express,Ocean Freight,08-09-2025,23-09-2025,03-09-2025,2831.01,USD,Delivered,22536.68
SHP-0000076,PO-SYN-0000493,WH-38,Maersk,Truck,10-04-2025,25-04-2025,19-04-2025,953.39,USD,Delivered,4976.15
SHP-0000077,PO-SYN-0005974,WH-09,DHL Express,Air Freight,09-09-2024,24-09-2024,30-09-2024,3930.83,USD,Port_Customs_Hold,14100.64
SHP-0000078,PO-SYN-0019718,WH-05,DHL Express,Ocean Freight,21-05-2026,05-06-2026,14-06-2026,1424.56,USD,Delivered,8245.52
SHP-0000079,PO-SYN-0009108,WH-43,Maersk Line,Air Freight,10-11-2025,25-11-2025,19-11-2025,2397.1,USD,Delivered,18670.67
SHP-0000080,PO-SYN-0001107,WH-01,FedEx,Ocean Freight,27-06-2024,12-07-2024,11-07-2024,2562.9,USD,Port_Customs_Hold,8926.37
SHP-0000081,PO-SYN-0005009,WH-14,FedEx,Truck,08-08-2025,23-08-2025,24-08-2025,5130.65,USD,Scheduled,22330.82
SHP-0000082,PO-SYN-0004446,WH-10,FedEx Express,Road Transport,22-06-2025,07-07-2025,07-07-2025,1200.64,USD,In_Transit,4488.1
SHP-0000083,PO-SYN-0004874,WH-44,DB Schenker,Ocean Freight,04-12-2024,19-12-2024,20-12-2024,1357.84,USD,Port_Customs_Hold,5331.26
SHP-0000084,PO-SYN-0018253,WH-05,Maersk,Air Freight,14-02-2025,01-03-2025,07-03-2025,3890.96,USD,Port_Customs_Hold,0
SHP-0000085,PO-SYN-0002456,WH-27,FedEx,Air Freight,30-01-2025,14-02-2025,10-02-2025,3368.37,USD,Delivered,17549.65
SHP-0000086,PO-SYN-0010014,WH-45,FedEx,Ocean Freight,23-01-2025,07-02-2025,12-02-2025,974.17,USD,In_Transit,3902.26
SHP-0000087,PO-SYN-0011489,WH-03,MSC Logistics,Air Freight,04-10-2024,19-10-2024,09-11-2024,1354.75,USD,Delivered,4874.01
SHP-0000088,PO-SYN-0003693,WH-27,MSC Logistics,Ocean Freight,10-11-2025,25-11-2025,26-11-2025,2737.49,USD,Scheduled,14589.66
SHP-0000089,PO-SYN-0012006,WH-40,DB Schenker,Air Freight,01-04-2026,16-04-2026,23-04-2026,840.46,USD,Scheduled,4490.73
SHP-0000090,PO-SYN-0018667,WH-18,Maersk,Truck,01-07-2024,16-07-2024,20-07-2024,387.68,USD,Port_Customs_Hold,2506.85
SHP-0000091,PO-SYN-0000877,WH-10,MSC Logistics,Truck,01-12-2024,16-12-2024,14-12-2024,5343.46,USD,Port_Customs_Hold,17615.24
SHP-0000092,PO-SYN-0007489,WH-24,Maersk Line,Road Transport,09-09-2025,24-09-2025,05-10-2025,324.39,USD,Port_Customs_Hold,1534.25
SHP-0000093,PO-SYN-0004302,WH-23,DHL Express,Air Freight,16-06-2026,01-07-2026,21-06-2026,3466.02,USD,Delivered,10390.86
SHP-0000094,PO-SYN-0012318,WH-24,MSC Logistics,Truck,06-04-2025,21-04-2025,27-04-2025,317.27,USD,Delivered,914.92
SHP-0000095,PO-SYN-0009486,WH-16,Maersk Line,Ocean Freight,10-02-2024,25-02-2024,20-03-2024,992.65,USD,Delivered,4462.81
SHP-0000096,PO-SYN-0006846,WH-05,MSC Logistics,Air Freight,28-05-2024,12-06-2024,15-06-2024,3113.96,USD,In_Transit,9869.38
SHP-0000097,PO-SYN-0007432,WH-03,DHL,Truck,10-04-2026,25-04-2026,03-05-2026,5241.72,USD,Delayed_Weather,16578.79
SHP-0000098,PO-SYN-0004501,WH-01,DB Schenker,Air Freight,21-09-2025,06-10-2025,10-10-2025,3107.57,USD,Delayed_Weather,0
SHP-0000099,PO-SYN-0012682,WH-11,Maersk,Road Transport,19-05-2026,03-06-2026,19-06-2026,2787.2,USD,Delivered,22687.02
SHP-0000100,PO-SYN-0007953,WH-49,Maersk Line,Ocean Freight,22-10-2025,06-11-2025,17-10-2025,4484.08,USD,Delivered,6152.255
SHP-0000101,PO-SYN-0006572,WH-17,DHL,Ocean Freight,08-10-2024,23-10-2024,03-11-2024,265.12,USD,Delivered,1161.17
SHP-0000102,PO-SYN-0012080,WH-08,DB Schenker,Air Freight,10-02-2024,25-02-2024,02-03-2024,413.47,USD,Port_Customs_Hold,1612.96
SHP-0000103,PO-SYN-0014767,WH-14,Maersk,Air Freight,01-09-2025,16-09-2025,25-09-2025,903.59,USD,In_Transit,2639.18
SHP-0000104,PO-SYN-0000267,WH-33,DHL,Truck,21-12-2024,05-01-2025,14-01-2025,3047.98,USD,Delayed_Weather,16471.75
SHP-0000105,PO-SYN-0005380,WH-36,FedEx,Ocean Freight,17-12-2025,01-01-2026,30-12-2025,3387.87,USD,Delivered,16455.13
SHP-0000106,PO-SYN-0010708,WH-34,DB Schenker,Air Freight,10-07-2025,25-07-2025,05-08-2025,4052.81,USD,Scheduled,13190.84
SHP-0000107,PO-SYN-0000608,WH-50,DHL,Ocean Freight,09-07-2024,24-07-2024,03-08-2024,3158.17,USD,In_Transit,11998.97
SHP-0000108,PO-SYN-0017434,WH-09,Maersk Line,Truck,16-02-2025,03-03-2025,12-03-2025,503.38,USD,In_Transit,3208.33
SHP-0000109,PO-SYN-0008141,WH-46,FedEx,Ocean Freight,24-10-2024,08-11-2024,13-11-2024,7004.24,USD,Scheduled,21518.27
SHP-0000110,PO-SYN-0011468,WH-34,FedEx,Ocean Freight,04-06-2025,19-06-2025,02-07-2025,1533,USD,Delivered,10540.44
SHP-0000111,PO-SYN-0001587,WH-17,Maersk,Road Transport,26-09-2025,11-10-2025,09-10-2025,7783.55,USD,In_Transit,24297.28
SHP-0000112,PO-SYN-0014377,WH-19,Maersk,Ocean Freight,02-02-2025,17-02-2025,22-02-2025,117.53,USD,Delivered,959.6
SHP-0000113,PO-SYN-0001831,WH-46,FedEx,Air Freight,06-02-2025,21-02-2025,26-02-2025,1163.01,USD,Scheduled,8373.33
SHP-0000114,PO-SYN-0016487,WH-46,DHL,Ocean Freight,28-06-2024,13-07-2024,13-07-2024,3891.2,USD,Delayed_Weather,19010.82
SHP-0000115,PO-SYN-0019884,WH-31,FedEx,Air Freight,06-10-2025,21-10-2025,23-10-2025,2390.54,USD,Scheduled,18343.32
SHP-0000116,PO-SYN-0002862,WH-07,Maersk Line,Air Freight,01-01-2026,16-01-2026,27-01-2026,919,USD,In_Transit,5478.36
SHP-0000117,PO-SYN-0019552,WH-39,DHL,Air Freight,01-08-2025,16-08-2025,08-09-2025,4535.99,USD,Delivered,15500.54
SHP-0000118,PO-SYN-0018507,WH-18,FedEx Express,Ocean Freight,21-04-2025,06-05-2025,07-05-2025,2356.39,USD,Delivered,15740.24
SHP-0000119,PO-SYN-0010285,WH-43,MSC Logistics,Ocean Freight,20-02-2026,07-03-2026,01-03-2026,2909.08,USD,Delivered,10660.68
SHP-0000120,PO-SYN-0001860,WH-25,MSC Logistics,Ocean Freight,02-09-2024,17-09-2024,19-09-2024,845.44,USD,Delayed_Weather,2690.33
SHP-0000121,PO-SYN-0016695,WH-12,DHL,Air Freight,05-09-2024,20-09-2024,18-09-2024,6115,USD,Delayed_Weather,20867.8
SHP-0000122,PO-SYN-0011135,WH-42,FedEx Express,Air Freight,08-02-2026,23-02-2026,25-02-2026,2937.6,USD,In_Transit,16300.65
SHP-0000123,PO-SYN-0012474,WH-06,FedEx,Ocean Freight,09-04-2026,24-04-2026,25-04-2026,3622.02,USD,Delivered,18892.17
SHP-0000124,PO-SYN-0001267,WH-49,FedEx,Ocean Freight,12-07-2025,27-07-2025,26-07-2025,155.6,USD,In_Transit,1182.78
SHP-0000125,PO-SYN-0001455,WH-40,FedEx Express,Road Transport,09-07-2024,24-07-2024,24-07-2024,2867.69,USD,Scheduled,12223.89
SHP-0000126,PO-SYN-0015973,WH-05,DHL Express,Air Freight,13-05-2025,28-05-2025,26-05-2025,4439.45,USD,Delayed_Weather,0
SHP-0000127,PO-SYN-0014601,WH-47,Maersk,Ocean Freight,20-08-2025,04-09-2025,13-09-2025,2141.81,USD,Port_Customs_Hold,13849.82
SHP-0000128,PO-SYN-0004519,WH-22,DHL,Air Freight,19-09-2024,04-10-2024,03-10-2024,82.35,USD,In_Transit,487.84
SHP-0000129,PO-SYN-0008623,WH-24,MSC Logistics,Air Freight,08-02-2026,23-02-2026,05-03-2026,4234.59,USD,Port_Customs_Hold,24117.19
SHP-0000130,PO-SYN-0001835,WH-49,Maersk,Ocean Freight,09-04-2026,24-04-2026,15-04-2026,5216.46,USD,Delivered,16380.27
SHP-0000131,PO-SYN-0012442,WH-36,DHL Express,Ocean Freight,13-04-2026,28-04-2026,16-04-2026,7002.82,USD,Delivered,23015.24
SHP-0000132,PO-SYN-0012524,WH-03,FedEx,Truck,24-03-2024,08-04-2024,06-04-2024,4686.59,USD,In_Transit,16366.34
SHP-0000133,PO-SYN-0019763,WH-18,MSC Logistics,Ocean Freight,10-11-2025,25-11-2025,26-11-2025,2583.59,USD,In_Transit,8804.03
SHP-0000134,PO-SYN-0009985,WH-15,Maersk,Ocean Freight,15-04-2026,30-04-2026,01-05-2026,3315.74,USD,Delayed_Weather,9873.8
SHP-0000135,PO-SYN-0004402,WH-08,DB Schenker,Air Freight,13-05-2024,28-05-2024,26-05-2024,4103.95,USD,In_Transit,22801.31
SHP-0000136,PO-SYN-0004600,WH-26,MSC Logistics,Truck,19-02-2025,06-03-2025,16-03-2025,1551.75,USD,Delayed_Weather,11345.74
SHP-0000137,PO-SYN-0018715,WH-09,FedEx,Road Transport,16-02-2024,02-03-2024,04-03-2024,7065.47,USD,Delayed_Weather,23057.33
SHP-0000138,PO-SYN-0002209,WH-02,DHL,Ocean Freight,20-03-2024,04-04-2024,07-04-2024,895,USD,Delivered,6543.86
SHP-0000139,PO-SYN-0008038,WH-45,Maersk,Ocean Freight,07-11-2025,22-11-2025,22-11-2025,6380.73,USD,Delivered,21873.13
SHP-0000140,PO-SYN-0017122,WH-32,Maersk Line,Truck,25-05-2026,09-06-2026,10-06-2026,4758.49,USD,Port_Customs_Hold,0
SHP-0000141,PO-SYN-0017568,WH-17,FedEx,Ocean Freight,12-08-2025,27-08-2025,08-09-2025,917.09,USD,Delivered,6028.65
SHP-0000142,PO-SYN-0006502,WH-30,MSC Logistics,Air Freight,22-10-2025,06-11-2025,07-11-2025,3559.52,USD,Delayed_Weather,18275.25
SHP-0000143,PO-SYN-0006546,WH-35,DB Schenker,Ocean Freight,26-05-2024,10-06-2024,10-06-2024,5033.12,USD,Port_Customs_Hold,24187.11
SHP-0000144,PO-SYN-0004209,WH-09,Maersk Line,Truck,28-09-2025,13-10-2025,27-10-2025,979.38,USD,Delivered,7685.86
SHP-0000145,PO-SYN-0012106,WH-34,FedEx,Road Transport,27-04-2026,12-05-2026,19-05-2026,3512.59,USD,Delayed_Weather,10901.79
SHP-0000146,PO-SYN-0017010,WH-36,FedEx Express,Ocean Freight,28-10-2024,12-11-2024,15-11-2024,1832.19,USD,Delayed_Weather,9374.64
SHP-0000147,PO-SYN-0016151,WH-12,DB Schenker,Ocean Freight,22-05-2024,06-06-2024,11-06-2024,1311.8,USD,Scheduled,8544.77
SHP-0000148,PO-SYN-0010731,WH-39,FedEx Express,Air Freight,30-09-2024,15-10-2024,18-10-2024,5502.49,USD,Delayed_Weather,22996.84
SHP-0000149,PO-SYN-0004083,WH-29,MSC Logistics,Air Freight,29-08-2025,13-09-2025,09-09-2025,692.87,USD,Delivered,2603.78
SHP-0000150,PO-SYN-0006362,WH-47,DHL,Ocean Freight,08-03-2024,23-03-2024,28-03-2024,271.67,USD,Delayed_Weather,2097.92
SHP-0000151,PO-SYN-0007451,WH-24,Maersk,Air Freight,06-10-2025,21-10-2025,31-10-2025,2796.12,USD,Port_Customs_Hold,15437.02
SHP-0000152,PO-SYN-0017118,WH-30,FedEx,Ocean Freight,08-05-2026,23-05-2026,30-05-2026,2626.64,USD,In_Transit,10382.53
SHP-0000153,PO-SYN-0003592,WH-03,FedEx,Ocean Freight,06-04-2026,21-04-2026,29-04-2026,1873.76,USD,Delivered,14369.85
SHP-0000154,PO-SYN-0005994,WH-06,FedEx Express,Road Transport,29-03-2025,13-04-2025,18-04-2025,2530.99,USD,Delayed_Weather,0
SHP-0000155,PO-SYN-0013226,WH-42,DHL Express,Air Freight,12-08-2024,27-08-2024,25-08-2024,7782.29,USD,Delayed_Weather,23441.74
SHP-0000156,PO-SYN-0012844,WH-24,Maersk,Ocean Freight,27-04-2024,12-05-2024,05-06-2024,538.77,USD,Delivered,2130.5
SHP-0000157,PO-SYN-0005259,WH-36,FedEx,Air Freight,13-05-2024,28-05-2024,22-05-2024,2470.36,USD,Delivered,10064.43
SHP-0000158,PO-SYN-0007967,WH-23,DHL,Road Transport,02-06-2025,17-06-2025,27-06-2025,1332.25,USD,Delivered,7955.72
SHP-0000159,PO-SYN-0017646,WH-05,FedEx,Road Transport,17-04-2025,02-05-2025,21-04-2025,1038.99,USD,Delivered,5623.62
SHP-0000160,PO-SYN-0017105,WH-09,FedEx,Air Freight,29-03-2026,13-04-2026,14-04-2026,721.76,USD,Delayed_Weather,2559.04
SHP-0000161,PO-SYN-0007420,WH-47,Maersk,Air Freight,13-11-2025,28-11-2025,01-12-2025,2236.46,USD,Scheduled,17847.6
SHP-0000162,PO-SYN-0001920,WH-10,DB Schenker,Truck,09-06-2026,24-06-2026,23-06-2026,843.11,USD,Delayed_Weather,6047.69
SHP-0000163,PO-SYN-0003227,WH-36,Maersk Line,Truck,22-07-2024,06-08-2024,09-08-2024,398.36,USD,Port_Customs_Hold,1514.87
SHP-0000164,PO-SYN-0008109,WH-06,DHL Express,Air Freight,21-01-2025,05-02-2025,14-02-2025,6117.92,USD,In_Transit,19671.24
SHP-0000165,PO-SYN-0015804,WH-37,DHL,Truck,03-03-2026,18-03-2026,07-04-2026,2833.19,USD,Delivered,19118.94
SHP-0000166,PO-SYN-0007323,WH-34,FedEx,Ocean Freight,03-08-2025,18-08-2025,10-08-2025,235.96,USD,Delivered,1659.84
SHP-0000167,PO-SYN-0008380,WH-20,FedEx,Road Transport,07-02-2024,22-02-2024,04-03-2024,2314.91,USD,Delayed_Weather,10277.25
SHP-0000168,PO-SYN-0004055,WH-33,MSC Logistics,Ocean Freight,03-08-2025,18-08-2025,17-08-2025,321.32,USD,In_Transit,2021.15
SHP-0000169,PO-SYN-0004506,WH-15,DB Schenker,Air Freight,30-05-2024,14-06-2024,14-06-2024,1678.52,USD,In_Transit,6310.35
SHP-0000170,PO-SYN-0000110,WH-43,FedEx,Air Freight,30-10-2025,14-11-2025,25-11-2025,5131.59,USD,In_Transit,22876.74
SHP-0000171,PO-SYN-0016226,WH-40,DHL Express,Truck,23-08-2024,07-09-2024,20-09-2024,5787.5,USD,Delivered,18557.1
SHP-0000172,PO-SYN-0013781,WH-20,FedEx,Ocean Freight,23-02-2025,10-03-2025,14-03-2025,4444.67,USD,Port_Customs_Hold,16369.41
SHP-0000173,PO-SYN-0004729,WH-48,FedEx,Ocean Freight,14-01-2026,29-01-2026,28-01-2026,1553.74,USD,Delayed_Weather,5304.03
SHP-0000174,PO-SYN-0014291,WH-39,DB Schenker,Ocean Freight,02-07-2025,17-07-2025,20-07-2025,5173.63,USD,In_Transit,15568.86
SHP-0000175,PO-SYN-0016964,WH-49,FedEx Express,Ocean Freight,17-11-2025,02-12-2025,03-12-2025,3718.04,USD,Delayed_Weather,11483.07
SHP-0000176,PO-SYN-0016906,WH-14,DHL Express,Air Freight,12-11-2025,27-11-2025,28-11-2025,2529.29,USD,In_Transit,7630.85
SHP-0000177,PO-SYN-0012313,WH-03,FedEx Express,Road Transport,03-01-2026,18-01-2026,17-01-2026,6932.19,USD,Delivered,22340.21
SHP-0000178,PO-SYN-0011903,WH-45,FedEx Express,Air Freight,01-06-2026,16-06-2026,22-06-2026,2518.38,USD,In_Transit,11057.44
SHP-0000179,PO-SYN-0001882,WH-06,FedEx Express,Air Freight,22-04-2024,07-05-2024,08-05-2024,748.73,USD,Delayed_Weather,3990.63
